delivery_id,order_id,rider_id,pickup_time,delivery_time,zone,distance_km,status
DEL-7231,ORD-100288,RDR-023,2024-04-16 20:30:10,,South Delhi,1.9,failed
DEL-7232,ORD-100289,RDR-020,2024-04-16 17:59:26,2024-04-16 18:49:26,Kurla,6.1,success
DEL-7233,ORD-100290,RDR-001,2024-04-16 21:10:54,2024-04-16 21:42:54,Andheri East,1.0,success
DEL-7234,ORD-100291,RDR-025,2024-04-16 11:06:54,2024-04-16 11:58:54,South Delhi,4.8,success
DEL-7235,ORD-100292,RDR-026,2024-04-16 11:22:21,,Dwarka,7.4,failed
DEL-7236,ORD-100294,RDR-014,2024-04-16 11:49:53,2024-04-16 12:54:53,Bandra,1.2,success
DEL-7237,ORD-100295,RDR-017,2024-04-16 23:22:15,2024-04-17 00:33:15,Jayanagar,4.4,success
DEL-7238,ORD-100297,RDR-021,2024-04-16 10:19:19,2024-04-16 11:15:19,Hebbal,6.3,success
DEL-7239,ORD-100298,RDR-005,2024-04-16 17:39:12,2024-04-16 18:34:12,North Delhi,3.2,success
DEL-7240,ORD-100299,RDR-014,2024-04-16 14:21:04,2024-04-16 15:05:04,Kurla,1.4,success
DEL-7241,ORD-100300,RDR-021,2024-04-16 13:09:38,2024-04-16 13:58:38,Lajpat Nagar,3.2,success
DEL-7242,ORD-100301,RDR-017,2024-04-16 22:33:14,2024-04-16 23:31:14,North Delhi,5.0,success
DEL-7243,ORD-100302,RDR-008,2024-04-16 20:20:45,,Rohini,2.7,failed
DEL-7244,ORD-100303,RDR-015,2024-04-16 12:54:24,2024-04-16 13:49:24,Borivali,1.7,success
DEL-7245,ORD-100304,RDR-013,2024-04-16 16:39:04,,Hebbal,4.7,failed
DEL-7246,ORD-100305,RDR-001,2024-04-16 21:23:13,2024-04-16 22:18:13,Whitefield,7.8,success
DEL-7247,ORD-100306,RDR-028,2024-04-16 18:43:55,,Bandra,2.1,failed
DEL-7248,ORD-100307,RDR-015,2024-04-16 11:26:04,,Jayanagar,4.9,failed
DEL-7249,ORD-100309,RDR-003,2024-04-16 09:02:30,2024-04-16 09:55:30,Thane,7.2,success
DEL-7250,ORD-100310,RDR-023,2024-04-16 23:20:47,2024-04-16 23:58:47,Whitefield,2.2,success
DEL-7251,ORD-100311,RDR-009,2024-04-16 16:58:50,2024-04-16 17:34:50,HSR Layout,1.9,success
DEL-7252,ORD-100312,RDR-002,2024-04-16 15:25:47,2024-04-16 16:36:47,Andheri East,4.7,success
DEL-7253,ORD-100313,RDR-010,2024-04-16 09:24:38,,Andheri West,3.8,failed
DEL-7254,ORD-100315,RDR-017,2024-04-16 15:31:17,2024-04-16 15:51:17,Hebbal,3.9,success
DEL-7255,ORD-100316,RDR-023,2024-04-16 21:53:14,2024-04-16 22:51:14,Karol Bagh,5.5,success
DEL-7256,ORD-100317,RDR-009,2024-04-16 10:24:38,,Andheri West,7.5,failed
DEL-7257,ORD-100318,RDR-018,2024-04-16 17:46:10,,Andheri East,1.8,failed
DEL-7258,ORD-100319,RDR-029,2024-04-16 14:12:41,2024-04-16 15:21:41,Karol Bagh,4.1,success
DEL-7259,ORD-100320,RDR-013,2024-04-16 12:03:40,2024-04-16 12:57:40,Jayanagar,2.6,success
