customer_id,order_id,row_id,sales,line_no
AC-10615,CA-2017-169411,3701,37.93,8
AC-10615,CA-2017-157987,1951,26.43,9
AC-10615,CA-2017-157987,1947,23.1,10
AC-10615,CA-2017-157987,1953,18.9,11
AC-10615,CA-2017-157987,1958,17.12,12
AC-10615,CA-2017-157987,1950,12.98,13
AC-10615,CA-2017-101637,9530,12.77,14
AC-10615,CA-2017-157987,1948,11.54,15
AC-10615,CA-2017-136007,6027,8.4,16
AC-10615,CA-2017-157987,1955,4.92,17
AC-10615,CA-2015-100734,7471,3.58,18
AC-10660,CA-2016-161928,6149,201.58,1
AC-10660,US-2014-122021,4898,183.37,2
AC-10660,CA-2017-135650,2843,143.73,3
AC-10660,CA-2016-134544,8382,84.78,4
AC-10660,CA-2016-158617,9447,35.88,5
AC-10660,US-2014-122021,4899,7.97,6
AD-10180,CA-2017-127432,516,2999.95,1
AD-10180,CA-2017-127432,519,1126.02,2
AD-10180,CA-2017-143245,4929,897.15,3
AD-10180,US-2014-152030,125,600.56,4
AD-10180,CA-2017-160416,3700,163.96,5
AD-10180,US-2017-136784,5289,163.96,6
AD-10180,CA-2017-127432,517,51.45,7
AD-10180,CA-2015-120439,1327,51.07,8
AD-10180,CA-2017-143245,4928,19.44,9
AD-10180,CA-2015-124268,1287,15.48,10
AD-10180,CA-2017-127432,518,11.96,11
AD-10180,CA-2014-128062,9736,5.88,12
AF-10870,CA-2016-146934,2443,662.84,1
AF-10870,CA-2016-146934,2441,345.0,2
AF-10870,CA-2016-146934,2446,257.98,3
AF-10870,US-2017-139969,2151,233.06,4
AF-10870,CA-2016-146934,2442,174.29,5
AF-10870,CA-2016-146934,2444,95.1,6
AF-10870,CA-2017-125269,8201,72.78,7
AF-10870,CA-2016-126270,9669,71.97,8
AF-10870,CA-2017-167871,3946,44.38,9
AF-10870,CA-2016-146934,2445,26.88,10
AF-10870,CA-2016-139234,3360,26.18,11
AF-10870,CA-2016-126270,9668,18.09,12
AF-10870,CA-2017-125269,8200,10.43,13
AF-10870,CA-2015-168634,5609,7.78,14
AF-10870,CA-2016-139234,3359,3.21,15
AF-10870,CA-2017-167871,3947,2.94,16
AF-10885,CA-2014-114181,7555,349.97,1
AF-10885,CA-2015-114300,848,287.94,2
AF-10885,CA-2015-114300,847,83.72,3
AF-10885,CA-2014-103702,3285,63.92,4
AF-10885,CA-2016-115588,2869,38.98,5
AF-10885,CA-2014-114181,7556,22.32,6
AF-10885,CA-2016-115588,2868,14.72,7
AG-10270,CA-2016-105732,7388,1336.44,1
AG-10270,CA-2016-105732,7385,378.0,2
AG-10270,CA-2016-105732,7387,373.08,3
AG-10270,CA-2016-105732,7382,149.95,4
AG-10270,CA-2014-103058,7411,99.98,5
AG-10270,CA-2014-167164,18,55.5,6
AG-10270,CA-2016-105732,7380,40.74,7
AG-10270,CA-2015-153738,8037,37.68,8
AG-10270,CA-2016-105732,7389,29.97,9
AG-10270,CA-2016-105732,7386,17.64,10
AG-10270,CA-2016-105732,7384,17.61,11
AG-10270,CA-2016-105732,7383,16.9,12
AG-10270,CA-2017-139416,4676,15.01,13
AG-10270,CA-2016-105732,7381,14.4,14
AG-10300,CA-2014-147298,2615,230.28,1
AG-10300,CA-2016-143749,4185,81.94,2
AG-10300,CA-2015-166800,6996,31.08,3
AG-10300,CA-2014-147298,2616,18.29,4
AG-10300,CA-2017-161823,3587,5.96,5
AG-10330,CA-2017-142909,7152,182.55,1
AG-10330,CA-2016-104150,6159,167.28,2
AG-10330,CA-2017-107748,4353,95.84,3
AG-10330,CA-2016-104150,6158,81.54,4
AG-10330,CA-2017-104927,6195,75.88,5
AG-10330,CA-2017-104927,6193,25.92,6
AG-10330,CA-2017-107748,4354,12.96,7
AG-10330,CA-2017-108287,7738,12.67,8
AG-10330,CA-2017-104927,6194,6.33,9
AG-10390,CA-2014-158470,7844,71.28,1
AG-10390,CA-2014-158470,7843,58.05,2
AG-10390,CA-2017-107244,6005,19.76,3
AG-10390,CA-2016-109820,1034,15.7,4
AG-10390,CA-2016-109820,1036,14.43,5
AG-10390,CA-2014-125171,4986,14.4,6
AG-10390,CA-2016-136483,2197,4.7,7
AG-10390,CA-2016-109820,1035,2.63,8
AG-10495,CA-2015-162201,9817,516.96,1
AG-10495,CA-2015-111948,9314,418.32,2
AG-10495,CA-2015-118738,5374,347.36,3
AG-10495,CA-2015-104241,5647,192.22,4
AG-10495,CA-2015-162201,9816,173.49,5
AG-10495,CA-2015-162201,9818,173.21,6
AG-10495,CA-2015-111948,9315,123.86,7
AG-10495,CA-2015-156146,5160,105.58,8
AG-10495,CA-2015-156146,5161,68.72,9
AG-10495,CA-2017-132976,279,59.71,10
AG-10495,CA-2015-162201,9821,42.24,11
AG-10495,CA-2017-132976,280,24.84,12
AG-10495,CA-2016-168921,6611,19.3,13
AG-10495,CA-2015-162201,9822,18.26,14
AG-10495,CA-2017-132976,278,18.18,15
AG-10495,CA-2015-118738,5373,15.55,16
AG-10495,CA-2017-132976,277,11.65,17
AG-10495,CA-2015-118738,5375,10.37,18
AG-10495,CA-2015-162201,9820,9.0,19
AG-10495,CA-2015-162201,9819,4.45,20
AG-10495,CA-2015-142692,4275,3.59,21
AG-10525,CA-2014-158281,7289,559.71,1
AG-10525,CA-2015-164084,8630,481.18,2
AG-10525,CA-2014-167850,315,178.38,3
AG-10525,CA-2015-164084,8628,90.0,4
AG-10525,CA-2015-164084,8627,70.26,5
AG-10525,CA-2015-169572,8791,46.62,6
AG-10525,CA-2014-167850,316,15.55,7
AG-10525,CA-2015-164084,8631,7.24,8
AG-10525,CA-2015-164084,8629,6.1,9
AG-10675,CA-2016-108987,400,2396.27,1
AG-10675,CA-2016-133368,7270,315.78,2
AG-10675,CA-2015-137512,2975,244.01,3
AG-10675,CA-2016-108987,401,131.14,4
AG-10675,CA-2016-133368,7269,89.57,5
AG-10675,CA-2016-108987,402,57.58,6
AG-10675,US-2017-146822,8148,49.12,7
AG-10675,CA-2017-163335,5184,40.29,8
AG-10675,CA-2017-163335,5185,38.71,9
AG-10675,CA-2016-108987,399,35.95,10
AG-10675,CA-2017-101483,1735,34.85,11
AG-10675,CA-2017-101483,1736,22.0,12
AG-10675,CA-2015-137512,2976,15.94,13
AG-10675,US-2017-104094,5280,13.48,14
AG-10675,CA-2017-101483,1737,4.37,15
AG-10765,CA-2015-110947,4579,113.1,1
AG-10765,CA-2017-126123,5697,27.4,2
AG-10765,CA-2017-126123,5698,13.46,3
AG-10765,CA-2015-113222,8742,10.74,4
AG-10765,US-2014-158638,879,5.89,5
AG-10900,US-2014-119137,374,1023.94,1
AG-10900,CA-2016-160108,9163,680.01,2
AG-10900,US-2014-119137,376,479.04,3
AG-10900,CA-2015-130785,1761,411.33,4
AG-10900,CA-2016-160108,9162,405.86,5
AG-10900,CA-2017-110198,9335,314.35,6
AG-10900,CA-2015-130785,1763,293.2,7
AG-10900,CA-2017-116939,5715,177.55,8
AG-10900,CA-2016-158435,4707,173.24,9
AG-10900,CA-2015-136728,8187,170.07,10
AG-10900,CA-2017-161557,6351,108.4,11
AG-10900,CA-2015-148376,1698,106.96,12
AG-10900,CA-2016-158435,4705,65.17,13
AG-10900,CA-2015-130785,1762,28.75,14
AG-10900,CA-2015-148376,1699,21.56,15
AG-10900,CA-2016-158435,4706,14.62,16
AG-10900,US-2014-119137,375,9.24,17
AG-10900,US-2014-119137,373,8.16,18
AG-10900,CA-2015-136728,8186,7.82,19
AG-10900,CA-2015-115399,8826,6.91,20
AG-10900,CA-2017-110198,9336,4.61,21
AH-10030,CA-2015-130113,9681,668.16,1
AH-10030,CA-2015-130113,9680,323.1,2
AH-10030,CA-2014-113768,5355,279.46,3
AH-10030,CA-2014-122070,7164,247.84,4
AH-10030,CA-2016-162747,3312,86.45,5
AH-10030,US-2014-158400,6129,49.41,6
AH-10030,CA-2014-157644,8804,34.77,7
AH-10030,CA-2014-157644,8805,18.9,8
AH-10030,CA-2017-164000,3200,18.7,9
AH-10030,CA-2014-122070,7165,9.91,10
AH-10030,CA-2014-113768,5356,8.0,11
AH-10075,CA-2016-149797,925,841.57,1
AH-10075,CA-2017-125451,8449,637.9,2
AH-10075,CA-2017-145702,6044,314.35,3
AH-10075,CA-2017-125451,8446,240.74,4
AH-10075,CA-2016-144015,8687,231.72,5
AH-10075,CA-2017-125451,8448,210.68,6
AH-10075,CA-2017-118857,1867,196.45,7
AH-10075,CA-2017-112004,7087,190.9,8
AH-10075,CA-2016-147109,8415,165.6,9
AH-10075,CA-2016-147109,8414,51.84,10
AH-10075,CA-2017-125451,8450,43.44,11
AH-10075,CA-2017-125451,8447,35.0,12
AH-10075,CA-2017-145702,6045,27.89,13
AH-10075,CA-2016-144015,8688,17.9,14
AH-10075,CA-2017-165029,1570,12.84,15
AH-10075,CA-2016-144015,8689,12.48,16
AH-10075,CA-2017-112004,7086,8.6,17
AH-10075,CA-2014-160066,4983,5.22,18
AH-10075,CA-2015-161795,7755,3.01,19
AH-10075,CA-2017-125451,8451,2.22,20
AH-10120,CA-2016-145261,5659,377.45,1
AH-10120,CA-2014-123295,2103,259.14,2
AH-10120,CA-2017-150987,4651,244.55,3
AH-10120,CA-2017-150987,4652,195.76,4
AH-10120,CA-2017-107958,7696,163.96,5
AH-10120,CA-2016-145261,5658,112.78,6
AH-10120,CA-2017-151211,6413,102.93,7
AH-10120,CA-2017-151211,6414,98.16,8
AH-10120,CA-2016-135594,8882,50.12,9
AH-10120,CA-2016-145261,5655,45.24,10
AH-10120,CA-2016-145261,5661,28.68,11
AH-10120,CA-2016-145261,5656,18.69,12
AH-10120,CA-2016-145261,5660,15.94,13
AH-10120,CA-2016-145261,5657,11.65,14
AH-10120,CA-2017-131632,6398,5.25,15
AH-10120,CA-2017-107958,7697,5.23,16
AH-10195,CA-2016-112697,289,961.48,1
AH-10195,CA-2016-112697,287,254.06,2
AH-10195,CA-2016-112697,288,194.53,3
AH-10195,CA-2015-125185,5255,99.37,4
AH-10195,CA-2015-125185,5256,33.57,5
AH-10195,CA-2017-123043,5403,24.67,6
AH-10195,CA-2017-154732,3349,16.03,7
AH-10195,CA-2017-123043,5404,3.74,8
AH-10210,CA-2017-146983,9274,1577.94,1
AH-10210,CA-2017-147956,2482,1003.62,2
AH-10210,CA-2015-165050,4979,773.94,3
AH-10210,CA-2014-153983,4416,575.92,4
AH-10210,US-2017-148831,9091,348.56,5
AH-10210,CA-2017-166919,6303,195.96,6
AH-10210,CA-2017-104080,4884,171.2,7
AH-10210,CA-2015-155040,266,79.9,8
AH-10210,CA-2014-153983,4417,30.4,9
AH-10210,CA-2015-165050,4977,21.36,10
AH-10210,CA-2016-166485,3456,16.5,11
AH-10210,CA-2015-165050,4978,6.69,12
AH-10210,CA-2017-104080,4885,3.36,13
AH-10465,CA-2015-141243,5056,1352.4,1
AH-10465,CA-2017-115546,4161,539.97,2
AH-10465,CA-2015-141243,5054,398.4,3
AH-10465,CA-2015-151547,6067,88.96,4
AH-10465,CA-2016-126165,5696,71.09,5
AH-10465,CA-2017-115546,4162,22.58,6
AH-10465,CA-2017-145275,9670,14.94,7
AH-10465,CA-2015-141243,5055,7.06,8
AH-10585,CA-2014-162278,4306,383.96,1
AH-10585,US-2017-152492,6031,239.24,2
AH-10585,CA-2014-162278,4305,63.92,3
AH-10585,CA-2016-160479,9427,35.4,4
AH-10585,CA-2017-109715,4211,15.98,5
AH-10690,CA-2016-113831,5301,2275.5,1
AH-10690,CA-2016-113831,5302,1979.7,2
AH-10690,CA-2015-110548,5727,946.34,3
AH-10690,CA-2016-144148,8168,863.13,4
AH-10690,CA-2015-113628,3810,523.92,5
AH-10690,CA-2016-148740,4397,361.38,6
AH-10690,CA-2014-160276,8920,177.68,7
AH-10690,CA-2015-113628,3812,146.14,8
AH-10690,CA-2015-139780,7356,116.4,9
AH-10690,CA-2015-113628,3811,100.79,10
AH-10690,CA-2016-138282,7467,87.84,11
AH-10690,CA-2016-158869,3447,70.88,12
AH-10690,CA-2016-113831,5303,62.1,13
AH-10690,CA-2016-145709,8922,52.68,14
AH-10690,CA-2015-112214,5855,33.49,15
AH-10690,CA-2015-112214,5856,23.04,16
AH-10690,CA-2015-166604,5644,17.94,17
AH-10690,CA-2015-112214,5858,14.76,18
AH-10690,CA-2015-113628,3807,11.76,19
AH-10690,CA-2016-145709,8923,11.57,20
AH-10690,CA-2015-113628,3808,5.24,21
AH-10690,CA-2015-113628,3809,4.66,22
AH-10690,CA-2015-112214,5857,1.36,23
AI-10855,CA-2014-131387,8452,1679.96,1
AI-10855,CA-2016-158694,5046,720.76,2
AI-10855,CA-2017-116855,3029,504.9,3
AI-10855,CA-2016-158694,5044,467.46,4
AI-10855,CA-2014-102330,7694,319.97,5
AI-10855,CA-2014-159709,5197,158.13,6
AI-10855,CA-2016-158694,5043,129.92,7
AI-10855,CA-2014-102330,7693,88.8,8
AI-10855,CA-2016-158694,5042,67.71,9
AI-10855,US-2017-160759,1516,63.69,10
AI-10855,CA-2016-158694,5045,61.4,11
AI-10855,CA-2014-159709,5198,43.6,12
AI-10855,CA-2015-167479,9212,19.44,13
AI-10855,CA-2015-158918,8670,17.12,14
AI-10855,CA-2016-158694,5048,14.7,15
AI-10855,CA-2017-107552,6305,6.68,16
AI-10855,CA-2017-155929,5442,6.37,17
AI-10855,CA-2016-158694,5047,5.18,18
AJ-10780,CA-2014-141313,6296,1737.18,1
AJ-10780,CA-2014-108609,6640,1421.66,2
AJ-10780,CA-2014-141313,6297,704.25,3
AJ-10780,CA-2017-111577,5338,307.78,4
AJ-10780,US-2017-133361,6463,261.96,5
AJ-10780,CA-2014-141313,6298,141.76,6
AJ-10780,US-2017-133361,6462,89.97,7
AJ-10780,US-2017-133361,6464,74.0,8
AJ-10780,CA-2014-149020,867,51.94,9
AJ-10780,US-2017-133361,6461,37.2,10
AJ-10780,US-2017-133361,6460,14.7,11
AJ-10780,CA-2015-165554,9051,10.86,12
AJ-10780,CA-2016-123617,2850,7.43,13
AJ-10780,US-2017-133361,6459,3.76,14
AJ-10780,CA-2014-149020,866,2.89,15
AJ-10795,CA-2017-142342,5652,1194.17,1
AJ-10795,CA-2016-123946,6845,1059.12,2
AJ-10795,CA-2014-110786,4040,767.95,3
AJ-10795,CA-2014-106810,769,310.88,4
AJ-10795,CA-2014-110786,4043,274.77,5
AJ-10795,CA-2014-110786,4042,191.98,6
AJ-10795,CA-2016-134474,863,191.47,7
AJ-10795,CA-2016-138079,2694,109.9,8
AJ-10795,CA-2014-110786,4044,70.56,9
AJ-10795,CA-2016-123946,6844,67.9,10
AJ-10795,CA-2016-134474,865,59.18,11
AJ-10795,CA-2017-142342,5650,57.9,12
AJ-10795,CA-2017-142342,5649,32.4,13
AJ-10795,CA-2014-110786,4038,24.9,14
AJ-10795,CA-2014-110786,4039,21.12,15
AJ-10795,CA-2016-123946,6842,20.7,16
AJ-10795,CA-2014-110786,4041,14.35,17
AJ-10795,CA-2016-123946,6843,11.34,18
AJ-10795,CA-2017-142342,5651,10.56,19
AJ-10795,CA-2016-134474,864,5.25,20
AJ-10795,CA-2016-123015,5178,4.99,21
AJ-10945,CA-2017-133004,3655,638.73,1
AJ-10945,US-2015-132836,9095,403.68,2
AJ-10945,CA-2016-115378,5163,301.96,3
AJ-10945,US-2015-132836,9094,299.98,4
AJ-10945,CA-2015-126347,9376,50.0,5
AJ-10945,CA-2015-164497,9330,45.28,6
AJ-10945,US-2015-132836,9096,41.9,7
AJ-10945,US-2015-132836,9097,28.91,8
AJ-10945,CA-2014-155852,556,19.46,9
AJ-10945,CA-2017-137421,9960,9.34,10
AJ-10960,CA-2014-113362,492,449.15,1
AJ-10960,CA-2014-131800,8265,122.94,2
AJ-10960,CA-2014-131800,8266,35.45,3
AJ-10960,CA-2014-113362,493,11.07,4
AJ-10960,CA-2017-123246,3864,10.64,5
AM-10360,US-2015-107944,8881,239.97,1
AM-10360,US-2015-107944,8880,192.72,2
AM-10360,CA-2017-161340,9296,115.96,3
AM-10360,CA-2017-109701,2352,79.47,4
AM-10360,CA-2017-109701,2350,69.46,5
AM-10360,CA-2016-157000,188,37.22,6
AM-10360,CA-2016-157000,189,20.02,7
AM-10360,CA-2014-132542,5418,15.36,8
AM-10360,CA-2017-161340,9295,13.87,9
AM-10360,CA-2017-109701,2351,10.86,10
AM-10360,CA-2017-109701,2353,10.08,11
AM-10360,CA-2017-109701,2349,9.02,12
AM-10705,CA-2014-145387,4209,1604.9,1
AM-10705,CA-2016-145905,2016,900.08,2
AM-10705,US-2017-124821,4270,871.4,3
AM-10705,CA-2014-145387,4210,385.69,4
AM-10705,CA-2017-157903,6190,383.84,5
AM-10705,CA-2016-145905,2014,350.98,6
AM-10705,CA-2017-104731,6588,302.94,7
AM-10705,CA-2017-104731,6585,271.96,8
AM-10705,CA-2017-104731,6590,231.72,9
AM-10705,CA-2017-104731,6584,101.94,10
AM-10705,CA-2014-145387,4204,49.25,11
AM-10705,CA-2015-151470,8437,45.58,12
AM-10705,CA-2014-145387,4207,34.08,13
AM-10705,CA-2017-104731,6587,19.68,14
AM-10705,CA-2014-145387,4208,17.67,15
AM-10705,CA-2015-100573,2447,17.48,16
AM-10705,CA-2017-104731,6589,14.94,17
AM-10705,CA-2014-145387,4206,14.76,18
AM-10705,CA-2015-138457,8264,13.09,19
AM-10705,CA-2016-145905,2015,13.08,20
AM-10705,CA-2014-145387,4205,10.16,21
AM-10705,CA-2017-104731,6586,8.8,22
AO-10810,CA-2016-148096,6134,161.28,1
AP-10720,US-2016-103674,9980,437.47,1
AP-10720,US-2016-103674,9974,271.96,2
AP-10720,US-2016-103674,9977,249.58,3
AP-10720,US-2016-114174,2544,173.94,4
AP-10720,CA-2014-127964,1164,125.76,5
AP-10720,CA-2017-143021,6951,79.97,6
AP-10720,CA-2017-143021,6950,58.41,7
AP-10720,CA-2016-136322,9806,45.57,8
AP-10720,CA-2016-136322,9807,28.75,9
AP-10720,US-2015-165449,2748,27.17,10
AP-10720,CA-2016-120250,4582,25.63,11
AP-10720,CA-2014-127964,1165,25.32,12
AP-10720,US-2016-103674,9975,18.69,13
AP-10720,US-2016-114174,2545,14.76,14
AP-10720,US-2016-103674,9978,13.86,15
AP-10720,US-2016-103674,9979,13.38,16
AP-10720,US-2016-103674,9976,13.36,17
AP-10720,CA-2014-127964,1163,9.99,18
AP-10720,CA-2016-154403,1578,4.98,19
AP-10915,CA-2016-168893,4435,842.94,1
AP-10915,CA-2014-146969,1145,686.32,2
AP-10915,CA-2014-124737,7025,223.06,3
AP-10915,CA-2014-146969,1142,204.6,4
AP-10915,US-2017-132059,3176,180.59,5
AP-10915,CA-2016-128412,2192,153.55,6
AP-10915,CA-2014-124737,7023,143.64,7
AP-10915,CA-2016-128412,2194,123.92,8
AP-10915,CA-2017-168228,4637,123.92,9
AP-10915,CA-2014-105270,5780,112.65,10
AP-10915,CA-2016-128412,2193,65.34,11
AP-10915,CA-2014-146969,1146,62.18,12
AP-10915,US-2017-132059,3177,47.98,13
AP-10915,CA-2017-168228,4639,47.3,14
AP-10915,CA-2016-128412,2196,44.75,15
AP-10915,CA-2016-128412,2195,35.1,16
AP-10915,CA-2014-124737,7024,31.1,17
AP-10915,CA-2014-105270,5779,30.48,18
AP-10915,CA-2017-146136,712,24.45,19
AP-10915,CA-2016-168893,4433,24.1,20
AP-10915,CA-2016-168893,4431,20.0,21
AP-10915,CA-2014-124737,7020,15.55,22
AP-10915,US-2016-164588,4160,12.84,23
AP-10915,CA-2017-168228,4638,12.39,24
AP-10915,CA-2014-113047,3745,11.85,25
AP-10915,CA-2016-168893,4434,8.75,26
AP-10915,CA-2014-146969,1143,8.72,27
AP-10915,CA-2016-168893,4432,7.98,28
