category,product_name,total_revenue,rank_in_category
Electronics,Cobalt Speaker Z652,20263.15,37
Electronics,Orbita Smartwatch Z220,18288.48,38
Electronics,Kestrel Fitness Band L361,16453.22,39
Electronics,Vantage Smartphone X510,15842.86,40
Electronics,Umbra Camcorder L461,15366.84,41
Electronics,Northbay Ring Tracker X464,15161.25,42
Electronics,Umbra Phone M727,15085.87,43
Electronics,Vantage Ultrabook Z437,14850.87,44
Electronics,Cobalt Camcorder Z783,14163.91,45
Electronics,Everline Handset X918,13758.73,46
Electronics,Lumen Phone X684,13646.23,47
Electronics,Arclight Smartwatch L754,13501.72,48
Electronics,Waypoint Ultrabook X636,12852.35,49
Electronics,Meridian Notebook Q464,12377.46,50
Electronics,Halcyon Notebook M720,12363.82,51
Electronics,Trident Camcorder S314,12042.17,52
Electronics,Meridian Earbuds M194,11217.64,53
Electronics,Riverstone Camera Z555,10980.97,54
Electronics,Meridian Camcorder L337,9685.01,55
Electronics,Waypoint Notebook M928,9472.29,56
Electronics,Lumen Camera S117,9471.63,57
Electronics,Zephyr Handset Z862,9248.58,58
Electronics,Halcyon Smartwatch L797,9084.85,59
Electronics,Zephyr Notebook L422,8700.32,60
Electronics,Arclight Smartwatch Q977,8654.54,61
Electronics,Vantage Handset X968,8340.28,62
Electronics,Solace Handset S832,8076.0,63
Electronics,Northbay Action Cam S818,7856.46,64
Electronics,Foxglove Camera Q339,6917.05,65
Electronics,Meridian Smartwatch L975,6807.87,66
Electronics,Everline Phone Q837,6387.44,67
Electronics,Halcyon Phone Z248,5485.29,68
Electronics,Northbay Speaker M398,5480.03,69
Electronics,Halcyon Handset L916,5422.5,70
Electronics,Foxglove Handset Z122,5094.91,71
Electronics,Vantage Handset S444,4835.96,72
Electronics,Everline Smartwatch M997,4685.86,73
Electronics,Solace Headphones S695,4521.19,74
Electronics,Zephyr Workstation M504,4501.54,75
Electronics,Lumen Headphones Q884,3763.54,76
Electronics,Waypoint Soundbar Z159,3747.96,77
Electronics,Foxglove Camera L368,3685.54,78
Electronics,Pinegate Ring Tracker Q753,3644.03,79
Electronics,Northbay Smartphone X492,3473.14,80
Electronics,Trident Earbuds X407,3342.66,81
Electronics,Foxglove Ultrabook X126,3093.16,82
Electronics,Northbay Earbuds M894,3072.8,83
Electronics,Meridian Speaker Z128,2797.43,84
Electronics,Trident Soundbar L714,2778.14,85
Electronics,Umbra Smartphone S410,2709.73,86
Electronics,Umbra Handset Q854,2567.75,87
Electronics,Meridian Phone Q563,2278.34,88
Electronics,Umbra Camera S129,2228.29,89
Electronics,Vantage Fitness Band S254,2186.81,90
Electronics,Cobalt Ultrabook X301,1717.61,91
Electronics,Arclight Notebook S776,1604.67,92
Electronics,Trident Notebook L810,1561.8,93
Electronics,Pinegate Action Cam Z879,1456.1,94
Electronics,Waypoint Soundbar M521,1414.63,95
Electronics,Northbay Camera X172,1396.63,96
Electronics,Zephyr Camera X185,1374.35,97
Electronics,Meridian Action Cam L218,1254.56,98
Electronics,Halcyon Workstation L306,1223.2,99
Electronics,Zephyr Ring Tracker S972,1146.08,100
Electronics,Vantage Ring Tracker Z557,903.27,101
Electronics,Riverstone Camera M522,840.6,102
Electronics,Cobalt Handset S186,773.9,103
Electronics,Everline Notebook X801,769.6,104
Electronics,Meridian Soundbar L275,537.48,105
Electronics,Everline Phone Z123,387.18,106
Electronics,Vantage Workstation L772,238.81,107
Electronics,Pinegate Speaker Z732,-463.73,108
Electronics,Orbita Camera Q603,-1071.66,109
Electronics,Zephyr Ring Tracker M606,-2441.68,110
Electronics,Vantage Smartphone M267,-3934.15,111
Electronics,Waypoint Ultrabook Z262,-8321.02,112
Electronics,Northbay Workstation L221,-22919.56,113
Home,Vantage Cookware Set Z994,115342.94,1
Home,Riverstone Stand Mixer L819,83212.49,2
Home,Arclight Pillow Set L696,65204.72,3
Home,Solace Vase L899,62213.62,4
Home,Pinegate Wall Mirror S180,59758.07,5
Home,Orbita Armchair M273,59139.66,6
Home,Meridian Armchair L890,38615.46,7
Home,Zephyr Vase X843,37467.22,8
Home,Umbra Floor Lamp M505,37114.07,9
Home,Waypoint Kettle Z773,34679.93,10
Home,Solace Rug Q949,34393.82,11
Home,Meridian Rug S685,34266.06,12
Home,Halcyon Throw Q385,33018.99,13
Home,Northbay Vase Z762,31482.68,14
Home,Kestrel Floor Lamp L215,31182.52,15
Home,Halcyon Dining Table S267,30446.26,16
Home,Riverstone Throw M894,29856.13,17
Home,Everline Chef Knife S900,27262.6,18
Home,Kestrel Cookware Set S631,25662.61,19
Home,Halcyon Kettle Z352,24860.82,20
Home,Waypoint Pillow Set X984,22126.36,21
Home,Pinegate Stand Mixer M608,21383.81,22
Home,Meridian Floor Lamp Q234,20427.61,23
Home,Foxglove Vase M661,20310.29,24
Home,Orbita Duvet M843,20039.77,25
Home,Orbita Bookcase Q666,19550.53,26
Home,Trident Floor Lamp Z495,18471.44,27
Home,Vantage Rug Q676,18451.13,28
Home,Cobalt Rug Z452,18400.53,29
Home,Cobalt Kettle S455,18342.04,30
Home,Everline Armchair Z235,17282.68,31
Home,Zephyr Duvet M841,16771.75,32
Home,Arclight Stand Mixer Z673,16089.16,33
Home,Trident Floor Lamp S458,15175.35,34
Home,Solace Bookcase L727,13860.04,35
Home,Halcyon Sheet Set X747,13063.29,36
Home,Waypoint Rug L882,12269.18,37
Home,Riverstone Duvet L745,12138.94,38
Home,Lumen Armchair S231,12006.25,39
Home,Vantage Armchair S126,11842.97,40
Home,Halcyon Sheet Set S882,11492.35,41
Home,Kestrel Pillow Set Q443,11400.54,42
Home,Waypoint Throw M428,10417.98,43
Home,Umbra Sheet Set M373,10237.07,44
Home,Meridian Stand Mixer M849,9963.73,45
Home,Riverstone Cookware Set M195,9475.31,46
Home,Cobalt Wall Mirror X502,8968.29,47
Home,Lumen Bookcase M903,8697.12,48
Home,Solace Floor Lamp X491,8549.43,49
Home,Vantage Cookware Set X240,8136.27,50
Home,Waypoint Throw L813,7534.25,51
Home,Halcyon Kettle Q417,7069.23,52
Home,Vantage Pillow Set Q654,6796.33,53
Home,Pinegate Pillow Set M807,6338.79,54
Home,Northbay Sheet Set X681,5482.94,55
Home,Kestrel Stand Mixer L776,5116.86,56
Home,Zephyr Duvet X807,4946.41,57
Home,Halcyon Pillow Set Q744,4922.14,58
Home,Foxglove Sheet Set M928,4679.15,59
Home,Everline Desk L787,4463.03,60
Home,Halcyon Bookcase S918,4410.25,61
Home,Arclight Stand Mixer L219,4254.94,62
Home,Foxglove Kettle S684,4125.47,63
Home,Arclight Bookcase M181,3896.77,64
Home,Foxglove Pillow Set M286,3853.09,65
Home,Northbay Desk S461,3611.96,66
Home,Halcyon Throw M109,3534.81,67
Home,Arclight Chef Knife X695,3337.79,68
Home,Northbay Pillow Set Q918,3302.1,69
Home,Vantage Throw Z755,2967.86,70
Home,Everline Wall Mirror Q169,2959.81,71
Home,Arclight Pillow Set S845,2951.85,72
Home,Everline Chef Knife Q926,2842.42,73
Home,Pinegate Vase L817,2442.44,74
Home,Everline Armchair S452,2240.24,75
Home,Kestrel Desk Q509,2182.94,76
Home,Zephyr Armchair Z295,2110.96,77
Home,Pinegate Cookware Set M305,2062.25,78
Home,Halcyon Sheet Set Q781,2024.96,79
Home,Northbay Wall Mirror Z682,1919.82,80
Home,Pinegate Dining Table Q739,1742.3,81
Home,Waypoint Cookware Set X252,1612.25,82
Home,Halcyon Kettle X606,1590.47,83
Home,Pinegate Duvet L373,1408.1,84
Home,Foxglove Armchair L294,1363.33,85
Home,Vantage Dining Table X847,1345.25,86
Home,Everline Kettle L373,1303.23,87
Home,Northbay Bookcase Z457,1132.34,88
Home,Kestrel Vase L963,1100.58,89
Home,Trident Pillow Set M718,976.11,90
Home,Meridian Stand Mixer M686,877.33,91
Home,Zephyr Wall Mirror Q855,835.93,92
Home,Trident Throw L293,818.82,93
Home,Umbra Desk Q554,764.84,94
Home,Northbay Stand Mixer S575,723.04,95
Home,Riverstone Chef Knife Z419,658.13,96
Home,Trident Bookcase Z498,605.89,97
Home,Cobalt Rug S973,592.67,98
Home,Foxglove Floor Lamp Q225,548.0,99
Home,Waypoint Floor Lamp Z720,545.21,100
Home,Cobalt Desk M744,502.68,101
Home,Vantage Duvet X647,467.09,102
Home,Riverstone Sheet Set X433,447.4,103
Home,Trident Stand Mixer L582,418.92,104
Home,Vantage Throw S290,418.56,105
Home,Vantage Pillow Set X173,392.01,106
Home,Lumen Stand Mixer X716,388.58,107
Home,Trident Desk X760,352.3,108
Home,Vantage Rug Q846,345.35,109
Home,Solace Rug X744,311.61,110
Home,Zephyr Sheet Set L953,297.48,111
Home,Arclight Dining Table X660,210.2,112
Home,Everline Desk M875,192.07,113
Home,Kestrel Kettle X500,190.3,114
Home,Zephyr Bookcase S216,161.02,115
Home,Umbra Wall Mirror Z603,126.47,116
Home,Waypoint Pillow Set L949,108.85,117
Home,Solace Rug M114,84.24,118
Home,Foxglove Duvet S261,63.78,119
Home,Meridian Cookware Set L613,23.84,120
Home,Kestrel Dining Table Q503,18.31,121
Home,Lumen Pillow Set S307,-3496.15,122
Home,Halcyon Sheet Set Z937,-4955.88,123
Home,Pinegate Duvet Z554,-12640.78,124
Home,Arclight Armchair Z638,-16371.75,125
