region_code,order_date,daily_revenue,running_total
CENTRAL,2025-04-25,818.52,71298.49
CENTRAL,2025-04-26,80.16,71378.65
CENTRAL,2025-04-27,5593.57,76972.22
CENTRAL,2025-04-30,774.48,77746.7
CENTRAL,2025-05-01,63.21,77809.91
CENTRAL,2025-05-08,141.24,77951.15
CENTRAL,2025-05-09,811.8,78762.95
CENTRAL,2025-05-13,1323.24,80086.19
CENTRAL,2025-05-14,-14.59,80071.6
CENTRAL,2025-05-15,2273.62,82345.22
CENTRAL,2025-05-16,924.96,83270.18
CENTRAL,2025-05-18,259.34,83529.52
CENTRAL,2025-05-21,1435.11,84964.63
CENTRAL,2025-05-23,900.77,85865.4
CENTRAL,2025-05-24,1559.33,87424.73
CENTRAL,2025-05-25,17.75,87442.48
CENTRAL,2025-05-28,5339.84,92782.32
CENTRAL,2025-05-30,1603.52,94385.84
CENTRAL,2025-05-31,388.81,94774.65
CENTRAL,2025-06-02,340.06,95114.71
CENTRAL,2025-06-03,3971.23,99085.94
CENTRAL,2025-06-04,3362.64,102448.58
CENTRAL,2025-06-06,602.8,103051.38
CENTRAL,2025-06-10,1250.65,104302.03
CENTRAL,2025-06-11,367.85,104669.88
CENTRAL,2025-06-17,38.95,104708.83
CENTRAL,2025-06-21,1410.73,106119.56
CENTRAL,2025-06-22,1778.09,107897.65
CENTRAL,2025-06-23,3007.87,110905.52
CENTRAL,2025-06-27,1214.64,112120.16
CENTRAL,2025-07-01,12.63,112132.79
CENTRAL,2025-07-03,3304.29,115437.08
CENTRAL,2025-07-05,283.4,115720.48
CENTRAL,2025-07-07,1157.57,116878.05
CENTRAL,2025-07-11,2196.71,119074.76
CENTRAL,2025-07-12,1316.24,120391.0
CENTRAL,2025-07-13,3029.84,123420.84
CENTRAL,2025-07-14,834.4,124255.24
CENTRAL,2025-07-17,2507.28,126762.52
CENTRAL,2025-07-20,1163.88,127926.4
CENTRAL,2025-07-21,5099.89,133026.29
CENTRAL,2025-07-24,435.1,133461.39
CENTRAL,2025-07-25,1569.5,135030.89
CENTRAL,2025-07-26,964.68,135995.57
CENTRAL,2025-07-29,2119.15,138114.72
CENTRAL,2025-07-30,3097.23,141211.95
CENTRAL,2025-07-31,1863.32,143075.27
CENTRAL,2025-08-02,49.05,143124.32
CENTRAL,2025-08-03,296.13,143420.45
CENTRAL,2025-08-05,-3256.92,140163.53
CENTRAL,2025-08-06,160.14,140323.67
CENTRAL,2025-08-07,263.63,140587.3
CENTRAL,2025-08-08,3616.93,144204.23
CENTRAL,2025-08-09,1005.21,145209.44
CENTRAL,2025-08-12,508.95,145718.39
CENTRAL,2025-08-13,1251.64,146970.03
CENTRAL,2025-08-14,1234.61,148204.64
CENTRAL,2025-08-15,289.06,148493.7
CENTRAL,2025-08-16,251.75,148745.45
CENTRAL,2025-08-19,2525.42,151270.87
CENTRAL,2025-08-23,-203.93,151066.94
CENTRAL,2025-08-26,2158.71,153225.65
CENTRAL,2025-08-28,450.21,153675.86
CENTRAL,2025-08-30,5344.89,159020.75
CENTRAL,2025-09-01,2515.95,161536.7
CENTRAL,2025-09-02,-197.4,161339.3
CENTRAL,2025-09-04,385.32,161724.62
CENTRAL,2025-09-05,87.81,161812.43
CENTRAL,2025-09-06,2347.06,164159.49
CENTRAL,2025-09-07,1857.69,166017.18
CENTRAL,2025-09-08,1469.89,167487.07
CENTRAL,2025-09-10,191.77,167678.84
CENTRAL,2025-09-12,517.5,168196.34
CENTRAL,2025-09-14,307.63,168503.97
CENTRAL,2025-09-16,20.85,168524.82
CENTRAL,2025-09-17,2873.56,171398.38
CENTRAL,2025-09-18,3107.78,174506.16
CENTRAL,2025-09-22,3568.73,178074.89
CENTRAL,2025-09-23,-577.93,177496.96
CENTRAL,2025-09-24,484.78,177981.74
CENTRAL,2025-09-26,93.3,178075.04
CENTRAL,2025-09-28,318.31,178393.35
CENTRAL,2025-09-29,67.81,178461.16
CENTRAL,2025-09-30,1908.22,180369.38
CENTRAL,2025-10-05,46.03,180415.41
CENTRAL,2025-10-06,5055.85,185471.26
CENTRAL,2025-10-07,2010.72,187481.98
CENTRAL,2025-10-08,2683.74,190165.72
CENTRAL,2025-10-10,1773.71,191939.43
CENTRAL,2025-10-11,3520.12,195459.55
CENTRAL,2025-10-13,187.14,195646.69
CENTRAL,2025-10-14,258.06,195904.75
CENTRAL,2025-10-15,2440.29,198345.04
CENTRAL,2025-10-17,1927.37,200272.41
CENTRAL,2025-10-18,326.22,200598.63
CENTRAL,2025-10-19,454.41,201053.04
CENTRAL,2025-10-20,2031.84,203084.88
CENTRAL,2025-10-21,2585.3,205670.18
CENTRAL,2025-10-22,73.08,205743.26
CENTRAL,2025-10-23,584.77,206328.03
CENTRAL,2025-10-25,1692.83,208020.86
CENTRAL,2025-10-26,279.35,208300.21
CENTRAL,2025-10-28,232.72,208532.93
CENTRAL,2025-10-29,447.9,208980.83
CENTRAL,2025-10-31,9994.45,218975.28
CENTRAL,2025-11-01,410.54,219385.82
CENTRAL,2025-11-03,1378.25,220764.07
CENTRAL,2025-11-05,2565.23,223329.3
CENTRAL,2025-11-06,248.43,223577.73
CENTRAL,2025-11-07,546.13,224123.86
CENTRAL,2025-11-08,-652.01,223471.85
CENTRAL,2025-11-09,3301.08,226772.93
CENTRAL,2025-11-11,387.65,227160.58
CENTRAL,2025-11-12,625.38,227785.96
CENTRAL,2025-11-13,761.08,228547.04
CENTRAL,2025-11-14,685.38,229232.42
CENTRAL,2025-11-15,1481.29,230713.71
CENTRAL,2025-11-16,4657.63,235371.34
CENTRAL,2025-11-17,2473.32,237844.66
CENTRAL,2025-11-18,4957.57,242802.23
CENTRAL,2025-11-20,9923.56,252725.79
CENTRAL,2025-11-21,614.48,253340.27
CENTRAL,2025-11-22,3202.21,256542.48
CENTRAL,2025-11-23,2108.58,258651.06
CENTRAL,2025-11-24,730.58,259381.64
CENTRAL,2025-11-26,306.55,259688.19
CENTRAL,2025-11-28,57.25,259745.44
CENTRAL,2025-11-30,4907.78,264653.22
CENTRAL,2025-12-01,132.25,264785.47
CENTRAL,2025-12-02,135.44,264920.91
CENTRAL,2025-12-03,2086.95,267007.86
CENTRAL,2025-12-04,92.81,267100.67
CENTRAL,2025-12-05,519.03,267619.7
CENTRAL,2025-12-06,2309.89,269929.59
CENTRAL,2025-12-07,2644.82,272574.41
CENTRAL,2025-12-08,1259.66,273834.07
CENTRAL,2025-12-09,236.82,274070.89
CENTRAL,2025-12-10,2107.92,276178.81
CENTRAL,2025-12-11,25.97,276204.78
CENTRAL,2025-12-12,-626.91,275577.87
CENTRAL,2025-12-13,424.83,276002.7
CENTRAL,2025-12-16,1464.26,277466.96
CENTRAL,2025-12-17,1819.74,279286.7
CENTRAL,2025-12-18,432.67,279719.37
CENTRAL,2025-12-20,7401.56,287120.93
CENTRAL,2025-12-21,1977.63,289098.56
CENTRAL,2025-12-22,5324.94,294423.5
CENTRAL,2025-12-23,4616.41,299039.91
CENTRAL,2025-12-24,245.49,299285.4
CENTRAL,2025-12-26,991.65,300277.05
CENTRAL,2025-12-27,1545.83,301822.88
CENTRAL,2025-12-28,2025.06,303847.94
CENTRAL,2025-12-30,3333.72,307181.66
CENTRAL,2025-12-31,3158.8,310340.46
CENTRAL,2026-01-01,136.15,310476.61
CENTRAL,2026-01-02,5541.56,316018.17
CENTRAL,2026-01-04,1105.06,317123.23
CENTRAL,2026-01-05,153.26,317276.49
CENTRAL,2026-01-06,1833.19,319109.68
CENTRAL,2026-01-07,1018.42,320128.1
CENTRAL,2026-01-08,2497.11,322625.21
CENTRAL,2026-01-09,4030.26,326655.47
CENTRAL,2026-01-10,2043.66,328699.13
CENTRAL,2026-01-11,667.32,329366.45
CENTRAL,2026-01-12,3041.75,332408.2
CENTRAL,2026-01-13,393.73,332801.93
CENTRAL,2026-01-15,1283.74,334085.67
CENTRAL,2026-01-16,732.08,334817.75
CENTRAL,2026-01-17,3371.49,338189.24
CENTRAL,2026-01-18,1150.97,339340.21
CENTRAL,2026-01-19,4563.05,343903.26
CENTRAL,2026-01-23,30.88,343934.14
CENTRAL,2026-01-24,3659.91,347594.05
CENTRAL,2026-01-25,184.06,347778.11
CENTRAL,2026-01-27,1464.6,349242.71
CENTRAL,2026-01-28,2399.29,351642.0
CENTRAL,2026-01-29,811.04,352453.04
CENTRAL,2026-01-30,2880.21,355333.25
CENTRAL,2026-02-01,1045.6,356378.85
CENTRAL,2026-02-02,3152.15,359531.0
CENTRAL,2026-02-03,3778.22,363309.22
CENTRAL,2026-02-05,5749.87,369059.09
CENTRAL,2026-02-07,670.39,369729.48
CENTRAL,2026-02-09,407.88,370137.36
CENTRAL,2026-02-10,6721.1,376858.46
CENTRAL,2026-02-11,1206.53,378064.99
CENTRAL,2026-02-12,2371.19,380436.18
CENTRAL,2026-02-14,27.07,380463.25
CENTRAL,2026-02-15,634.32,381097.57
CENTRAL,2026-02-18,1525.63,382623.2
CENTRAL,2026-02-19,522.45,383145.65
CENTRAL,2026-02-20,1346.64,384492.29
CENTRAL,2026-02-21,126.47,384618.76
CENTRAL,2026-02-23,5800.64,390419.4
CENTRAL,2026-02-24,434.23,390853.63
CENTRAL,2026-02-25,1861.79,392715.42
CENTRAL,2026-02-26,5283.1,397998.52
CENTRAL,2026-02-27,-1921.33,396077.19
CENTRAL,2026-02-28,519.33,396596.52
CENTRAL,2026-03-01,2833.78,399430.3
CENTRAL,2026-03-02,140.72,399571.02
CENTRAL,2026-03-03,771.91,400342.93
CENTRAL,2026-03-05,764.85,401107.78
CENTRAL,2026-03-06,2914.41,404022.19
CENTRAL,2026-03-07,2791.34,406813.53
CENTRAL,2026-03-08,812.84,407626.37
CENTRAL,2026-03-09,3189.1,410815.47
CENTRAL,2026-03-10,13265.14,424080.61
CENTRAL,2026-03-11,7818.61,431899.22
CENTRAL,2026-03-12,3754.84,435654.06
CENTRAL,2026-03-13,2398.87,438052.93
CENTRAL,2026-03-14,1638.73,439691.66
CENTRAL,2026-03-15,1302.01,440993.67
CENTRAL,2026-03-16,1975.54,442969.21
CENTRAL,2026-03-17,3454.87,446424.08
CENTRAL,2026-03-19,3643.76,450067.84
CENTRAL,2026-03-20,1740.42,451808.26
CENTRAL,2026-03-22,4448.43,456256.69
CENTRAL,2026-03-23,1031.1,457287.79
CENTRAL,2026-03-24,2348.28,459636.07
CENTRAL,2026-03-25,225.09,459861.16
CENTRAL,2026-03-26,8.84,459870.0
CENTRAL,2026-03-28,2728.18,462598.18
CENTRAL,2026-03-29,3734.94,466333.12
CENTRAL,2026-03-30,1626.16,467959.28
CENTRAL,2026-03-31,1630.11,469589.39
CENTRAL,2026-04-01,260.93,469850.32
CENTRAL,2026-04-02,3931.86,473782.18
CENTRAL,2026-04-03,62.94,473845.12
CENTRAL,2026-04-04,2877.27,476722.39
CENTRAL,2026-04-05,14.8,476737.19
CENTRAL,2026-04-06,9093.62,485830.81
CENTRAL,2026-04-08,10605.67,496436.48
CENTRAL,2026-04-09,4360.76,500797.24
CENTRAL,2026-04-10,3965.92,504763.16
CENTRAL,2026-04-13,443.52,505206.68
CENTRAL,2026-04-14,263.88,505470.56
CENTRAL,2026-04-15,2650.48,508121.04
CENTRAL,2026-04-16,-37.35,508083.69
CENTRAL,2026-04-17,116.38,508200.07
CENTRAL,2026-04-18,1277.77,509477.84
CENTRAL,2026-04-19,822.71,510300.55
CENTRAL,2026-04-22,6891.22,517191.77
CENTRAL,2026-04-24,4212.16,521403.93
CENTRAL,2026-04-25,139.47,521543.4
CENTRAL,2026-04-26,16.45,521559.85
CENTRAL,2026-04-27,3869.08,525428.93
CENTRAL,2026-04-28,4785.07,530214.0
CENTRAL,2026-04-29,150.74,530364.74
CENTRAL,2026-04-30,2157.32,532522.06
CENTRAL,2026-05-01,806.64,533328.7
CENTRAL,2026-05-03,3892.14,537220.84
CENTRAL,2026-05-04,695.1,537915.94
CENTRAL,2026-05-05,5126.06,543042.0
CENTRAL,2026-05-07,8787.46,551829.46
CENTRAL,2026-05-08,4434.65,556264.11
CENTRAL,2026-05-10,773.59,557037.7
CENTRAL,2026-05-11,1770.88,558808.58
CENTRAL,2026-05-12,2066.76,560875.34
CENTRAL,2026-05-13,17.11,560892.45
CENTRAL,2026-05-14,1905.03,562797.48
CENTRAL,2026-05-15,3287.81,566085.29
CENTRAL,2026-05-16,980.17,567065.46
CENTRAL,2026-05-17,8221.19,575286.65
CENTRAL,2026-05-18,1365.19,576651.84
CENTRAL,2026-05-19,1763.43,578415.27
CENTRAL,2026-05-20,2252.15,580667.42
CENTRAL,2026-05-21,938.39,581605.81
CENTRAL,2026-05-22,2253.99,583859.8
CENTRAL,2026-05-24,7576.44,591436.24
CENTRAL,2026-05-25,1277.81,592714.05
CENTRAL,2026-05-26,1707.29,594421.34
CENTRAL,2026-05-27,3394.96,597816.3
CENTRAL,2026-05-28,5958.16,603774.46
CENTRAL,2026-05-29,1130.02,604904.48
CENTRAL,2026-05-31,1816.43,606720.91
CENTRAL,2026-06-01,4228.34,610949.25
CENTRAL,2026-06-03,-662.75,610286.5
CENTRAL,2026-06-04,92.23,610378.73
CENTRAL,2026-06-05,475.49,610854.22
CENTRAL,2026-06-06,850.93,611705.15
CENTRAL,2026-06-07,2722.59,614427.74
CENTRAL,2026-06-08,2100.51,616528.25
CENTRAL,2026-06-09,-429.77,616098.48
CENTRAL,2026-06-10,2422.21,618520.69
CENTRAL,2026-06-11,350.61,618871.3
CENTRAL,2026-06-12,2202.17,621073.47
CENTRAL,2026-06-13,1357.82,622431.29
CENTRAL,2026-06-14,3321.78,625753.07
CENTRAL,2026-06-15,3442.73,629195.8
CENTRAL,2026-06-16,2625.91,631821.71
CENTRAL,2026-06-17,562.04,632383.75
CENTRAL,2026-06-18,2470.73,634854.48
CENTRAL,2026-06-19,3354.43,638208.91
CENTRAL,2026-06-20,229.16,638438.07
CENTRAL,2026-06-21,170.92,638608.99
CENTRAL,2026-06-22,1128.11,639737.1
CENTRAL,2026-06-23,6277.74,646014.84
CENTRAL,2026-06-24,460.62,646475.46
CENTRAL,2026-06-25,4659.26,651134.72
CENTRAL,2026-06-26,2308.65,653443.37
CENTRAL,2026-06-27,761.2,654204.57
CENTRAL,2026-06-28,3996.68,658201.25
CENTRAL,2026-06-29,288.07,658489.32
CENTRAL,2026-06-30,2960.73,661450.05
CENTRAL,2026-07-01,1725.64,663175.69
CENTRAL,2026-07-04,5591.07,668766.76
CENTRAL,2026-07-05,4463.2,673229.96
CENTRAL,2026-07-06,17.96,673247.92
CENTRAL,2026-07-07,5881.98,679129.9
CENTRAL,2026-07-08,3176.93,682306.83
CENTRAL,2026-07-09,14.54,682321.37
CENTRAL,2026-07-10,-552.99,681768.38
CENTRAL,2026-07-11,4301.61,686069.99
CENTRAL,2026-07-13,874.59,686944.58
CENTRAL,2026-07-14,73.46,687018.04
CENTRAL,2026-07-15,6361.73,693379.77
CENTRAL,2026-07-16,2445.98,695825.75
CENTRAL,2026-07-17,950.27,696776.02
CENTRAL,2026-07-18,3203.71,699979.73
CENTRAL,2026-07-19,15917.43,715897.16
CENTRAL,2026-07-20,3360.5,719257.66
CENTRAL,2026-07-21,5511.07,724768.73
CENTRAL,2026-07-22,6032.34,730801.07
CENTRAL,2026-07-23,1253.35,732054.42
CENTRAL,2026-07-25,1750.59,733805.01
CENTRAL,2026-07-26,43.47,733848.48
CENTRAL,2026-07-27,83.35,733931.83
CENTRAL,2026-07-28,7918.87,741850.7
CENTRAL,2026-07-29,5145.41,746996.11
CENTRAL,2026-07-30,214.95,747211.06
CENTRAL,2026-07-31,1019.09,748230.15
CENTRAL,2026-08-01,507.05,748737.2
EAST,2024-08-30,117.18,117.18
EAST,2024-09-17,3697.29,3814.47
EAST,2024-09-24,93.2,3907.67
EAST,2024-10-06,205.56,4113.23
EAST,2024-10-15,2100.25,6213.48
EAST,2024-10-21,537.31,6750.79
EAST,2024-11-08,1229.89,7980.68
EAST,2024-11-26,567.9,8548.58
EAST,2024-11-27,3783.64,12332.22
EAST,2024-12-02,218.39,12550.61
EAST,2024-12-07,-1882.96,10667.65
EAST,2024-12-19,761.15,11428.8
EAST,2024-12-21,2389.34,13818.14
EAST,2024-12-24,841.12,14659.26
EAST,2024-12-26,77.6,14736.86
EAST,2024-12-27,641.04,15377.9
EAST,2024-12-29,2279.06,17656.96
EAST,2025-01-01,1980.05,19637.01
EAST,2025-01-06,378.98,20015.99
EAST,2025-01-14,157.61,20173.6
EAST,2025-01-15,444.7,20618.3
EAST,2025-01-20,38.52,20656.82
EAST,2025-01-23,456.03,21112.85
EAST,2025-01-28,846.58,21959.43
EAST,2025-01-29,566.01,22525.44
EAST,2025-02-01,883.66,23409.1
EAST,2025-02-03,2047.29,25456.39
EAST,2025-02-13,1255.15,26711.54
EAST,2025-02-23,2288.97,29000.51
EAST,2025-02-25,2681.49,31682.0
EAST,2025-02-26,-1505.58,30176.42
EAST,2025-03-01,11.02,30187.44
EAST,2025-03-02,1544.81,31732.25
EAST,2025-03-04,1250.1,32982.35
EAST,2025-03-06,2547.14,35529.49
EAST,2025-03-07,1488.81,37018.3
EAST,2025-03-12,-10.07,37008.23
EAST,2025-03-16,405.12,37413.35
EAST,2025-03-17,-5175.39,32237.96
EAST,2025-03-18,4129.85,36367.81
EAST,2025-03-20,4408.16,40775.97
EAST,2025-03-23,12.79,40788.76
EAST,2025-03-24,3103.86,43892.62
EAST,2025-03-25,583.11,44475.73
EAST,2025-03-27,1938.03,46413.76
EAST,2025-03-30,506.11,46919.87
EAST,2025-04-01,1666.7,48586.57
EAST,2025-04-02,1125.34,49711.91
EAST,2025-04-04,780.17,50492.08
EAST,2025-04-06,50.03,50542.11
EAST,2025-04-07,5114.37,55656.48
EAST,2025-04-09,1270.47,56926.95
EAST,2025-04-10,1737.0,58663.95
EAST,2025-04-11,296.12,58960.07
EAST,2025-04-13,98.43,59058.5
EAST,2025-04-20,1502.49,60560.99
EAST,2025-04-22,998.86,61559.85
EAST,2025-04-23,1340.72,62900.57
EAST,2025-04-24,2928.62,65829.19
EAST,2025-04-25,2768.11,68597.3
EAST,2025-04-26,66.17,68663.47
EAST,2025-04-28,325.79,68989.26
EAST,2025-04-29,656.05,69645.31
EAST,2025-05-01,-267.73,69377.58
EAST,2025-05-02,896.75,70274.33
EAST,2025-05-03,14.44,70288.77
EAST,2025-05-06,1586.34,71875.11
EAST,2025-05-12,282.14,72157.25
EAST,2025-05-14,1280.23,73437.48
EAST,2025-05-15,5402.62,78840.1
EAST,2025-05-17,1729.14,80569.24
EAST,2025-05-18,353.43,80922.67
EAST,2025-05-20,169.21,81091.88
EAST,2025-05-21,2790.87,83882.75
EAST,2025-05-26,1470.33,85353.08
EAST,2025-05-29,4083.22,89436.3
EAST,2025-05-30,3888.72,93325.02
EAST,2025-05-31,3836.48,97161.5
EAST,2025-06-03,3184.48,100345.98
EAST,2025-06-04,1621.36,101967.34
EAST,2025-06-06,906.92,102874.26
EAST,2025-06-07,147.76,103022.02
EAST,2025-06-09,786.99,103809.01
EAST,2025-06-12,286.81,104095.82
EAST,2025-06-14,425.54,104521.36
EAST,2025-06-17,991.76,105513.12
EAST,2025-06-18,443.81,105956.93
EAST,2025-06-20,2312.78,108269.71
EAST,2025-06-25,1981.61,110251.32
EAST,2025-06-26,2009.75,112261.07
EAST,2025-06-27,30.55,112291.62
EAST,2025-07-02,70.37,112361.99
EAST,2025-07-04,106.83,112468.82
EAST,2025-07-06,1401.1,113869.92
EAST,2025-07-08,770.49,114640.41
EAST,2025-07-09,2421.54,117061.95
EAST,2025-07-11,1248.33,118310.28
EAST,2025-07-12,2357.72,120668.0
EAST,2025-07-13,79.35,120747.35
EAST,2025-07-14,1042.67,121790.02
EAST,2025-07-15,3957.76,125747.78
EAST,2025-07-16,1468.9,127216.68
EAST,2025-07-17,30.51,127247.19
EAST,2025-07-18,493.7,127740.89
EAST,2025-07-20,1235.57,128976.46
EAST,2025-07-21,7433.91,136410.37
EAST,2025-07-22,366.84,136777.21
EAST,2025-07-23,3948.96,140726.17
EAST,2025-07-25,173.05,140899.22
EAST,2025-07-26,1043.63,141942.85
EAST,2025-07-27,76.64,142019.49
EAST,2025-07-29,3353.89,145373.38
EAST,2025-07-30,1192.16,146565.54
EAST,2025-07-31,48.26,146613.8
EAST,2025-08-04,2233.57,148847.37
EAST,2025-08-06,2010.07,150857.44
EAST,2025-08-07,1112.28,151969.72
EAST,2025-08-08,3727.72,155697.44
EAST,2025-08-09,2270.67,157968.11
EAST,2025-08-10,3394.49,161362.6
EAST,2025-08-11,28.26,161390.86
EAST,2025-08-12,726.72,162117.58
EAST,2025-08-13,5430.59,167548.17
EAST,2025-08-16,880.59,168428.76
EAST,2025-08-17,3803.81,172232.57
EAST,2025-08-18,1872.22,174104.79
EAST,2025-08-20,152.79,174257.58
EAST,2025-08-21,1119.83,175377.41
EAST,2025-08-22,970.28,176347.69
EAST,2025-08-23,6308.41,182656.1
EAST,2025-08-24,130.57,182786.67
EAST,2025-08-26,1792.56,184579.23
EAST,2025-08-27,154.1,184733.33
EAST,2025-08-28,3078.72,187812.05
EAST,2025-09-02,1471.78,189283.83
EAST,2025-09-03,260.84,189544.67
EAST,2025-09-04,1515.48,191060.15
EAST,2025-09-06,270.22,191330.37
EAST,2025-09-07,4023.89,195354.26
EAST,2025-09-08,4559.11,199913.37
EAST,2025-09-09,1086.8,201000.17
EAST,2025-09-10,778.26,201778.43
EAST,2025-09-11,478.16,202256.59
EAST,2025-09-12,3367.88,205624.47
EAST,2025-09-16,1246.94,206871.41
EAST,2025-09-17,254.55,207125.96
EAST,2025-09-18,1655.12,208781.08
EAST,2025-09-19,4146.06,212927.14
EAST,2025-09-21,-338.93,212588.21
EAST,2025-09-22,1666.84,214255.05
EAST,2025-09-24,21.01,214276.06
EAST,2025-09-25,193.95,214470.01
EAST,2025-09-26,622.39,215092.4
EAST,2025-09-27,1607.34,216699.74
EAST,2025-09-28,438.1,217137.84
EAST,2025-09-29,1284.4,218422.24
EAST,2025-10-01,315.79,218738.03
EAST,2025-10-02,1525.28,220263.31
EAST,2025-10-03,4026.84,224290.15
EAST,2025-10-04,714.36,225004.51
EAST,2025-10-05,1984.85,226989.36
EAST,2025-10-06,1267.77,228257.13
EAST,2025-10-09,320.88,228578.01
EAST,2025-10-11,2558.71,231136.72
EAST,2025-10-13,1229.05,232365.77
EAST,2025-10-14,1037.63,233403.4
EAST,2025-10-15,4291.17,237694.57
EAST,2025-10-16,2560.79,240255.36
EAST,2025-10-17,1838.44,242093.8
EAST,2025-10-18,62.02,242155.82
EAST,2025-10-20,519.53,242675.35
EAST,2025-10-22,1261.04,243936.39
EAST,2025-10-26,95.97,244032.36
EAST,2025-10-27,-104.02,243928.34
EAST,2025-10-28,893.96,244822.3
EAST,2025-10-30,4276.03,249098.33
EAST,2025-10-31,164.78,249263.11
EAST,2025-11-02,3252.03,252515.14
EAST,2025-11-03,1578.38,254093.52
EAST,2025-11-04,2201.42,256294.94
EAST,2025-11-05,95.34,256390.28
EAST,2025-11-06,237.52,256627.8
EAST,2025-11-10,5676.39,262304.19
EAST,2025-11-12,1448.91,263753.1
EAST,2025-11-13,943.56,264696.66
EAST,2025-11-14,2620.67,267317.33
EAST,2025-11-15,2333.99,269651.32
EAST,2025-11-16,5023.12,274674.44
EAST,2025-11-17,1455.03,276129.47
EAST,2025-11-18,1486.91,277616.38
EAST,2025-11-20,1723.63,279340.01
EAST,2025-11-21,-166.18,279173.83
EAST,2025-11-22,1762.27,280936.1
EAST,2025-11-23,1002.46,281938.56
EAST,2025-11-25,121.1,282059.66
EAST,2025-11-27,664.12,282723.78
EAST,2025-11-28,1446.38,284170.16
EAST,2025-11-29,4321.52,288491.68
EAST,2025-11-30,1663.63,290155.31
EAST,2025-12-01,12.68,290167.99
EAST,2025-12-02,3541.42,293709.41
EAST,2025-12-03,251.86,293961.27
EAST,2025-12-04,1255.01,295216.28
EAST,2025-12-05,969.46,296185.74
EAST,2025-12-06,973.64,297159.38
EAST,2025-12-08,1342.12,298501.5
EAST,2025-12-09,828.94,299330.44
EAST,2025-12-11,300.46,299630.9
EAST,2025-12-12,55.17,299686.07
EAST,2025-12-13,8937.82,308623.89
EAST,2025-12-14,815.27,309439.16
EAST,2025-12-16,5877.59,315316.75
EAST,2025-12-17,2210.25,317527.0
EAST,2025-12-18,2080.65,319607.65
EAST,2025-12-21,-376.03,319231.62
EAST,2025-12-22,601.99,319833.61
EAST,2025-12-23,1723.74,321557.35
EAST,2025-12-24,4120.89,325678.24
EAST,2025-12-27,732.47,326410.71
EAST,2025-12-28,3795.44,330206.15
EAST,2025-12-29,1154.82,331360.97
EAST,2025-12-30,1156.03,332517.0
EAST,2025-12-31,4526.25,337043.25
EAST,2026-01-01,288.53,337331.78
EAST,2026-01-02,1720.56,339052.34
EAST,2026-01-03,3517.0,342569.34
EAST,2026-01-06,153.65,342722.99
EAST,2026-01-07,2885.38,345608.37
EAST,2026-01-08,847.68,346456.05
EAST,2026-01-09,2336.26,348792.31
EAST,2026-01-10,836.05,349628.36
EAST,2026-01-11,762.99,350391.35
EAST,2026-01-12,434.55,350825.9
EAST,2026-01-13,410.29,351236.19
EAST,2026-01-14,2155.27,353391.46
EAST,2026-01-15,226.2,353617.66
EAST,2026-01-16,5124.1,358741.76
EAST,2026-01-17,170.53,358912.29
EAST,2026-01-18,2452.47,361364.76
EAST,2026-01-19,1212.89,362577.65
EAST,2026-01-20,-1750.55,360827.1
EAST,2026-01-22,4716.04,365543.14
