customer_id,revenue_rank,revenue,cumulative_revenue,cumulative_percent,top_percent_of_customers
CUST00179,254,5994.08,2726580.57,69.76,36.55
CUST00125,255,5991.78,2732572.35,69.91,36.69
CUST00227,256,5987.07,2738559.42,70.06,36.83
CUST00042,257,5970.56,2744529.98,70.22,36.98
CUST00677,258,5961.32,2750491.3,70.37,37.12
CUST00253,259,5955.21,2756446.51,70.52,37.27
CUST00448,260,5929.79,2762376.3,70.67,37.41
CUST00025,261,5912.63,2768288.93,70.82,37.55
CUST00771,262,5901.19,2774190.12,70.97,37.7
CUST00451,263,5898.58,2780088.7,71.13,37.84
CUST00133,264,5889.6,2785978.3,71.28,37.99
CUST00326,265,5879.97,2791858.27,71.43,38.13
CUST00656,266,5873.54,2797731.81,71.58,38.27
CUST00361,267,5868.18,2803599.99,71.73,38.42
CUST00102,268,5830.62,2809430.61,71.88,38.56
CUST00474,269,5823.3,2815253.91,72.02,38.71
CUST00705,270,5821.35,2821075.26,72.17,38.85
CUST00290,271,5806.51,2826881.77,72.32,38.99
CUST00443,272,5771.55,2832653.32,72.47,39.14
CUST00177,273,5771.18,2838424.5,72.62,39.28
CUST00706,274,5767.23,2844191.73,72.77,39.42
CUST00096,275,5766.54,2849958.27,72.91,39.57
CUST00265,276,5759.13,2855717.4,73.06,39.71
CUST00748,277,5745.1,2861462.5,73.21,39.86
CUST00062,278,5725.02,2867187.52,73.35,40.0
CUST00101,279,5715.24,2872902.76,73.5,40.14
CUST00728,280,5663.28,2878566.04,73.64,40.29
CUST00054,281,5641.83,2884207.87,73.79,40.43
CUST00611,282,5641.49,2889849.36,73.93,40.58
CUST00427,283,5583.9,2895433.26,74.08,40.72
CUST00688,284,5581.4,2901014.66,74.22,40.86
CUST00575,285,5575.09,2906589.75,74.36,41.01
CUST00229,286,5550.98,2912140.73,74.5,41.15
CUST00755,287,5543.74,2917684.47,74.65,41.29
CUST00631,288,5537.72,2923222.19,74.79,41.44
CUST00412,289,5532.13,2928754.32,74.93,41.58
CUST00176,290,5520.57,2934274.89,75.07,41.73
CUST00142,291,5499.44,2939774.33,75.21,41.87
CUST00527,292,5486.92,2945261.25,75.35,42.01
CUST00103,293,5471.82,2950733.07,75.49,42.16
CUST00408,294,5459.2,2956192.27,75.63,42.3
CUST00186,295,5404.09,2961596.36,75.77,42.45
CUST00004,296,5404.08,2967000.44,75.91,42.59
CUST00046,297,5399.06,2972399.5,76.05,42.73
CUST00766,298,5311.29,2977710.79,76.18,42.88
CUST00248,299,5297.23,2983008.02,76.32,43.02
CUST00350,300,5295.02,2988303.04,76.45,43.17
CUST00721,301,5277.98,2993581.02,76.59,43.31
CUST00774,302,5274.53,2998855.55,76.72,43.45
CUST00064,303,5264.34,3004119.89,76.86,43.6
CUST00549,304,5154.69,3009274.58,76.99,43.74
CUST00484,305,5148.03,3014422.61,77.12,43.88
CUST00655,306,5134.75,3019557.36,77.25,44.03
CUST00087,307,5125.27,3024682.63,77.38,44.17
CUST00249,308,5096.82,3029779.45,77.51,44.32
CUST00772,309,5073.56,3034853.01,77.64,44.46
CUST00157,310,5064.61,3039917.62,77.77,44.6
CUST00065,311,5061.4,3044979.02,77.9,44.75
CUST00200,312,5059.6,3050038.62,78.03,44.89
CUST00203,313,5038.86,3055077.48,78.16,45.04
CUST00449,314,5012.19,3060089.67,78.29,45.18
CUST00635,315,5011.73,3065101.4,78.42,45.32
CUST00165,316,5009.04,3070110.44,78.54,45.47
CUST00053,317,4991.26,3075101.7,78.67,45.61
CUST00047,318,4944.39,3080046.09,78.8,45.76
CUST00233,319,4928.14,3084974.23,78.93,45.9
CUST00407,320,4927.82,3089902.05,79.05,46.04
CUST00038,321,4927.09,3094829.14,79.18,46.19
CUST00240,322,4926.36,3099755.5,79.3,46.33
CUST00463,323,4912.71,3104668.21,79.43,46.47
CUST00302,324,4889.22,3109557.43,79.55,46.62
CUST00737,325,4868.77,3114426.2,79.68,46.76
CUST00497,326,4868.15,3119294.35,79.8,46.91
CUST00787,327,4865.35,3124159.7,79.93,47.05
CUST00720,328,4842.88,3129002.58,80.05,47.19
CUST00130,329,4802.03,3133804.61,80.17,47.34
CUST00078,330,4795.99,3138600.6,80.3,47.48
CUST00104,331,4788.63,3143389.23,80.42,47.63
CUST00709,332,4784.64,3148173.87,80.54,47.77
CUST00729,333,4767.02,3152940.89,80.66,47.91
CUST00405,334,4752.7,3157693.59,80.79,48.06
CUST00694,335,4737.16,3162430.75,80.91,48.2
CUST00251,336,4732.77,3167163.52,81.03,48.35
CUST00400,337,4719.69,3171883.21,81.15,48.49
CUST00346,338,4718.46,3176601.67,81.27,48.63
CUST00565,339,4685.22,3181286.89,81.39,48.78
CUST00012,340,4674.04,3185960.93,81.51,48.92
CUST00377,341,4659.15,3190620.08,81.63,49.06
CUST00280,342,4645.88,3195265.96,81.75,49.21
CUST00551,343,4580.39,3199846.35,81.86,49.35
CUST00282,344,4563.7,3204410.05,81.98,49.5
CUST00403,345,4517.1,3208927.15,82.1,49.64
CUST00462,346,4489.96,3213417.11,82.21,49.78
CUST00654,347,4425.72,3217842.83,82.32,49.93
CUST00106,348,4425.38,3222268.21,82.44,50.07
CUST00739,349,4410.24,3226678.45,82.55,50.22
CUST00618,350,4402.94,3231081.39,82.66,50.36
CUST00160,351,4378.86,3235460.25,82.78,50.5
CUST00744,352,4377.93,3239838.18,82.89,50.65
CUST00121,353,4374.65,3244212.83,83.0,50.79
CUST00524,354,4358.22,3248571.05,83.11,50.94
CUST00518,355,4349.37,3252920.42,83.22,51.08
CUST00710,356,4336.57,3257256.99,83.33,51.22
CUST00619,357,4330.82,3261587.81,83.44,51.37
CUST00703,358,4297.41,3265885.22,83.55,51.51
CUST00252,359,4241.67,3270126.89,83.66,51.65
CUST00221,360,4226.07,3274352.96,83.77,51.8
CUST00124,361,4211.55,3278564.51,83.88,51.94
CUST00505,362,4210.44,3282774.95,83.99,52.09
CUST00421,363,4204.08,3286979.03,84.09,52.23
CUST00669,364,4194.6,3291173.63,84.2,52.37
CUST00717,365,4177.24,3295350.87,84.31,52.52
CUST00758,366,4167.85,3299518.72,84.41,52.66
CUST00031,367,4165.0,3303683.72,84.52,52.81
CUST00250,368,4142.74,3307826.46,84.63,52.95
CUST00308,369,4106.6,3311933.06,84.73,53.09
CUST00795,370,4090.44,3316023.5,84.84,53.24
CUST00664,371,4089.21,3320112.71,84.94,53.38
CUST00607,372,4046.41,3324159.12,85.04,53.53
CUST00600,373,4035.46,3328194.58,85.15,53.67
CUST00546,374,4020.26,3332214.84,85.25,53.81
CUST00583,375,4005.18,3336220.02,85.35,53.96
CUST00701,376,4003.76,3340223.78,85.46,54.1
CUST00776,377,3979.87,3344203.65,85.56,54.24
CUST00711,378,3976.6,3348180.25,85.66,54.39
CUST00672,379,3973.55,3352153.8,85.76,54.53
CUST00286,380,3962.92,3356116.72,85.86,54.68
CUST00256,381,3945.0,3360061.72,85.96,54.82
CUST00696,382,3932.59,3363994.31,86.06,54.96
CUST00732,383,3894.88,3367889.19,86.16,55.11
CUST00761,384,3866.15,3371755.34,86.26,55.25
CUST00624,385,3858.44,3375613.78,86.36,55.4
CUST00713,386,3833.68,3379447.46,86.46,55.54
CUST00014,387,3830.5,3383277.96,86.56,55.68
CUST00091,388,3823.64,3387101.6,86.65,55.83
CUST00436,389,3797.31,3390898.91,86.75,55.97
CUST00171,390,3772.69,3394671.6,86.85,56.12
CUST00536,391,3753.52,3398425.12,86.94,56.26
CUST00790,392,3743.79,3402168.91,87.04,56.4
CUST00472,393,3729.81,3405898.72,87.14,56.55
CUST00616,394,3728.51,3409627.23,87.23,56.69
CUST00247,395,3711.63,3413338.86,87.33,56.83
CUST00159,396,3684.18,3417023.04,87.42,56.98
CUST00314,397,3646.25,3420669.29,87.51,57.12
CUST00391,398,3643.49,3424312.78,87.61,57.27
CUST00382,399,3631.16,3427943.94,87.7,57.41
CUST00800,400,3625.13,3431569.07,87.79,57.55
CUST00352,401,3599.22,3435168.29,87.88,57.7
CUST00188,402,3598.7,3438766.99,87.98,57.84
CUST00467,403,3597.03,3442364.02,88.07,57.99
CUST00531,404,3552.25,3445916.27,88.16,58.13
CUST00780,405,3538.4,3449454.67,88.25,58.27
CUST00274,406,3510.71,3452965.38,88.34,58.42
CUST00587,407,3495.8,3456461.18,88.43,58.56
CUST00507,408,3488.84,3459950.02,88.52,58.71
CUST00666,409,3486.46,3463436.48,88.61,58.85
CUST00740,410,3484.95,3466921.43,88.7,58.99
CUST00241,411,3482.28,3470403.71,88.79,59.14
CUST00107,412,3457.92,3473861.63,88.87,59.28
CUST00151,413,3440.17,3477301.8,88.96,59.42
CUST00075,414,3439.14,3480740.94,89.05,59.57
CUST00643,415,3436.7,3484177.64,89.14,59.71
CUST00429,416,3434.39,3487612.03,89.23,59.86
CUST00432,417,3425.06,3491037.09,89.31,60.0
CUST00781,418,3412.77,3494449.86,89.4,60.14
CUST00793,419,3401.76,3497851.62,89.49,60.29
CUST00363,420,3379.61,3501231.23,89.57,60.43
CUST00334,421,3354.85,3504586.08,89.66,60.58
CUST00299,422,3325.29,3507911.37,89.75,60.72
CUST00535,423,3309.92,3511221.29,89.83,60.86
CUST00238,424,3305.41,3514526.7,89.91,61.01
CUST00122,425,3281.25,3517807.95,90.0,61.15
CUST00433,426,3272.73,3521080.68,90.08,61.29
CUST00155,427,3255.17,3524335.85,90.17,61.44
CUST00017,428,3254.46,3527590.31,90.25,61.58
CUST00526,429,3246.65,3530836.96,90.33,61.73
CUST00199,430,3234.64,3534071.6,90.41,61.87
CUST00223,431,3228.44,3537300.04,90.5,62.01
CUST00440,432,3185.43,3540485.47,90.58,62.16
CUST00768,433,3182.7,3543668.17,90.66,62.3
CUST00773,434,3181.84,3546850.01,90.74,62.45
CUST00296,435,3112.62,3549962.63,90.82,62.59
CUST00137,436,3089.02,3553051.65,90.9,62.73
CUST00168,437,3088.82,3556140.47,90.98,62.88
CUST00785,438,3070.93,3559211.4,91.06,63.02
CUST00465,439,3063.64,3562275.04,91.14,63.17
CUST00456,440,3059.52,3565334.56,91.21,63.31
CUST00197,441,3046.3,3568380.86,91.29,63.45
CUST00646,442,3043.12,3571423.98,91.37,63.6
CUST00434,443,3025.93,3574449.91,91.45,63.74
CUST00055,444,3005.57,3577455.48,91.52,63.88
CUST00529,445,2983.79,3580439.27,91.6,64.03
CUST00283,446,2982.38,3583421.65,91.68,64.17
CUST00670,447,2931.37,3586353.02,91.75,64.32
CUST00132,448,2927.85,3589280.87,91.83,64.46
CUST00727,449,2909.53,3592190.4,91.9,64.6
CUST00678,450,2902.2,3595092.6,91.98,64.75
CUST00375,451,2894.76,3597987.36,92.05,64.89
CUST00201,452,2893.82,3600881.18,92.12,65.04
CUST00150,453,2892.47,3603773.65,92.2,65.18
CUST00446,454,2891.94,3606665.59,92.27,65.32
CUST00333,455,2880.05,3609545.64,92.35,65.47
CUST00295,456,2867.29,3612412.93,92.42,65.61
CUST00680,457,2863.29,3615276.22,92.49,65.76
CUST00144,458,2856.95,3618133.17,92.57,65.9
CUST00486,459,2852.65,3620985.82,92.64,66.04
CUST00225,460,2847.06,3623832.88,92.71,66.19
CUST00714,461,2838.86,3626671.74,92.78,66.33
CUST00519,462,2824.63,3629496.37,92.86,66.47
CUST00576,463,2796.08,3632292.45,92.93,66.62
CUST00477,464,2733.31,3635025.76,93.0,66.76
CUST00359,465,2730.86,3637756.62,93.07,66.91
CUST00373,466,2723.55,3640480.17,93.14,67.05
CUST00779,467,2721.32,3643201.49,93.21,67.19
CUST00753,468,2713.44,3645914.93,93.28,67.34
CUST00232,469,2712.25,3648627.18,93.35,67.48
CUST00470,470,2702.06,3651329.24,93.41,67.63
CUST00105,471,2672.9,3654002.14,93.48,67.77
CUST00431,472,2665.99,3656668.13,93.55,67.91
CUST00637,473,2656.11,3659324.24,93.62,68.06
CUST00719,474,2610.61,3661934.85,93.69,68.2
CUST00273,475,2592.71,3664527.56,93.75,68.35
CUST00418,476,2590.11,3667117.67,93.82,68.49
CUST00376,477,2589.54,3669707.21,93.88,68.63
CUST00685,478,2580.42,3672287.63,93.95,68.78
CUST00026,479,2580.37,3674868.0,94.02,68.92
CUST00490,480,2577.45,3677445.45,94.08,69.06
CUST00210,481,2576.0,3680021.45,94.15,69.21
CUST00027,482,2574.93,3682596.38,94.21,69.35
CUST00325,483,2572.92,3685169.3,94.28,69.5
CUST00743,484,2527.83,3687697.13,94.35,69.64
CUST00117,485,2526.46,3690223.59,94.41,69.78
CUST00765,486,2522.77,3692746.36,94.47,69.93
CUST00099,487,2496.62,3695242.98,94.54,70.07
CUST00246,488,2483.46,3697726.44,94.6,70.22
CUST00146,489,2459.12,3700185.56,94.66,70.36
CUST00131,490,2457.64,3702643.2,94.73,70.5
CUST00750,491,2429.49,3705072.69,94.79,70.65
CUST00751,492,2428.35,3707501.04,94.85,70.79
CUST00675,493,2403.45,3709904.49,94.91,70.94
CUST00172,494,2381.35,3712285.84,94.97,71.08
CUST00528,495,2381.18,3714667.02,95.04,71.22
CUST00510,496,2380.68,3717047.7,95.1,71.37
CUST00783,497,2360.02,3719407.72,95.16,71.51
CUST00682,498,2355.34,3721763.06,95.22,71.65
CUST00724,499,2337.27,3724100.33,95.28,71.8
CUST00216,500,2329.64,3726429.97,95.34,71.94
CUST00353,501,2324.07,3728754.04,95.4,72.09
CUST00399,502,2285.79,3731039.83,95.45,72.23
CUST00277,503,2254.6,3733294.43,95.51,72.37
CUST00239,504,2211.08,3735505.51,95.57,72.52
CUST00020,505,2191.22,3737696.73,95.62,72.66
CUST00442,506,2143.3,3739840.03,95.68,72.81
CUST00112,507,2133.79,3741973.82,95.73,72.95
CUST00070,508,2121.75,3744095.57,95.79,73.09
CUST00016,509,2076.92,3746172.49,95.84,73.24
CUST00076,510,2067.35,3748239.84,95.89,73.38
CUST00640,511,2041.36,3750281.2,95.95,73.53
CUST00552,512,2027.04,3752308.24,96.0,73.67
CUST00455,513,2004.26,3754312.5,96.05,73.81
CUST00641,514,2001.88,3756314.38,96.1,73.96
CUST00220,515,1998.68,3758313.06,96.15,74.1
CUST00450,516,1998.57,3760311.63,96.2,74.24
CUST00033,517,1994.07,3762305.7,96.25,74.39
