customer_id,first_category,latest_category,category_shift
CUST00139,Electronics,Clothing,Yes
CUST00140,Clothing,Books,Yes
CUST00141,Clothing,Home,Yes
CUST00142,Electronics,Electronics,No
CUST00144,Home,Electronics,Yes
CUST00145,Clothing,Books,Yes
CUST00146,Books,Home,Yes
CUST00147,Books,Clothing,Yes
CUST00148,Home,Home,No
CUST00149,Clothing,Electronics,Yes
CUST00150,Clothing,Electronics,Yes
CUST00151,Books,Books,No
CUST00154,Electronics,Home,Yes
CUST00155,Electronics,Home,Yes
CUST00157,Home,Electronics,Yes
CUST00158,Home,Home,No
CUST00159,Clothing,Clothing,No
CUST00160,Home,Clothing,Yes
CUST00161,Electronics,Books,Yes
CUST00162,Home,Electronics,Yes
CUST00163,Home,Electronics,Yes
CUST00164,Home,Clothing,Yes
CUST00165,Electronics,Clothing,Yes
CUST00166,Clothing,Clothing,No
CUST00167,Home,Home,No
CUST00168,Home,Electronics,Yes
CUST00170,Electronics,Electronics,No
CUST00171,Electronics,Electronics,No
CUST00172,Home,Home,No
CUST00173,Electronics,Home,Yes
CUST00176,Home,Electronics,Yes
CUST00177,Books,Home,Yes
CUST00178,Electronics,Books,Yes
CUST00179,Clothing,Home,Yes
CUST00181,Home,Clothing,Yes
CUST00182,Home,Electronics,Yes
CUST00183,Clothing,Clothing,No
CUST00184,Home,Clothing,Yes
CUST00185,Electronics,Clothing,Yes
CUST00186,Home,Books,Yes
CUST00187,Books,Clothing,Yes
CUST00188,Clothing,Home,Yes
CUST00189,Home,Home,No
CUST00190,Clothing,Books,Yes
CUST00192,Clothing,Home,Yes
CUST00193,Clothing,Electronics,Yes
CUST00194,Clothing,Books,Yes
CUST00195,Books,Home,Yes
CUST00196,Electronics,Electronics,No
CUST00197,Home,Home,No
CUST00198,Home,Electronics,Yes
CUST00199,Books,Home,Yes
CUST00200,Clothing,Clothing,No
CUST00201,Clothing,Electronics,Yes
CUST00202,Electronics,Electronics,No
CUST00203,Electronics,Home,Yes
CUST00204,Electronics,Electronics,No
CUST00205,Electronics,Books,Yes
CUST00206,Electronics,Home,Yes
CUST00207,Electronics,Clothing,Yes
CUST00209,Home,Clothing,Yes
CUST00210,Books,Clothing,Yes
CUST00211,Clothing,Books,Yes
CUST00213,Home,Electronics,Yes
CUST00214,Clothing,Clothing,No
CUST00216,Books,Books,No
CUST00217,Clothing,Clothing,No
CUST00218,Electronics,Electronics,No
CUST00220,Home,Electronics,Yes
CUST00221,Home,Books,Yes
CUST00223,Clothing,Home,Yes
CUST00224,Home,Home,No
CUST00225,Clothing,Books,Yes
CUST00226,Electronics,Home,Yes
CUST00227,Home,Books,Yes
CUST00228,Clothing,Electronics,Yes
CUST00229,Home,Home,No
CUST00230,Electronics,Home,Yes
CUST00231,Books,Books,No
CUST00232,Electronics,Clothing,Yes
CUST00233,Home,Electronics,Yes
CUST00237,Home,Clothing,Yes
CUST00238,Books,Electronics,Yes
CUST00239,Books,Home,Yes
CUST00240,Books,Clothing,Yes
CUST00241,Books,Home,Yes
CUST00242,Books,Electronics,Yes
CUST00244,Clothing,Home,Yes
CUST00245,Clothing,Electronics,Yes
CUST00246,Clothing,Books,Yes
CUST00247,Electronics,Books,Yes
CUST00248,Electronics,Electronics,No
CUST00249,Electronics,Electronics,No
CUST00250,Home,Home,No
CUST00251,Electronics,Clothing,Yes
CUST00252,Electronics,Electronics,No
CUST00253,Books,Home,Yes
CUST00254,Electronics,Home,Yes
CUST00255,Books,Electronics,Yes
CUST00256,Books,Home,Yes
CUST00257,Electronics,Home,Yes
CUST00259,Clothing,Home,Yes
CUST00260,Home,Electronics,Yes
CUST00261,Home,Clothing,Yes
CUST00263,Home,Books,Yes
CUST00264,Home,Books,Yes
CUST00265,Electronics,Home,Yes
CUST00266,Electronics,Books,Yes
CUST00267,Home,Home,No
CUST00268,Home,Clothing,Yes
CUST00269,Clothing,Electronics,Yes
CUST00271,Electronics,Home,Yes
CUST00272,Electronics,Home,Yes
CUST00273,Electronics,Books,Yes
CUST00274,Books,Electronics,Yes
CUST00275,Home,Electronics,Yes
CUST00276,Clothing,Electronics,Yes
CUST00277,Electronics,Home,Yes
CUST00278,Electronics,Clothing,Yes
CUST00279,Books,Books,No
CUST00280,Electronics,Clothing,Yes
CUST00282,Books,Clothing,Yes
CUST00283,Electronics,Clothing,Yes
CUST00284,Electronics,Electronics,No
CUST00285,Clothing,Clothing,No
CUST00286,Clothing,Clothing,No
CUST00287,Electronics,Clothing,Yes
CUST00288,Clothing,Clothing,No
CUST00289,Books,Home,Yes
CUST00290,Home,Books,Yes
CUST00294,Clothing,Books,Yes
CUST00295,Books,Clothing,Yes
CUST00296,Books,Electronics,Yes
CUST00297,Clothing,Clothing,No
CUST00299,Books,Home,Yes
CUST00300,Clothing,Home,Yes
CUST00301,Clothing,Home,Yes
CUST00302,Home,Electronics,Yes
CUST00303,Electronics,Home,Yes
CUST00305,Clothing,Clothing,No
CUST00307,Electronics,Home,Yes
CUST00308,Home,Books,Yes
CUST00309,Electronics,Electronics,No
CUST00310,Home,Books,Yes
CUST00311,Electronics,Clothing,Yes
CUST00312,Home,Electronics,Yes
CUST00313,Clothing,Books,Yes
CUST00314,Electronics,Books,Yes
CUST00315,Home,Electronics,Yes
CUST00316,Books,Books,No
CUST00317,Books,Books,No
CUST00318,Books,Home,Yes
CUST00319,Books,Clothing,Yes
CUST00321,Electronics,Electronics,No
CUST00322,Clothing,Home,Yes
CUST00323,Books,Electronics,Yes
CUST00324,Books,Home,Yes
CUST00325,Home,Electronics,Yes
CUST00326,Electronics,Electronics,No
CUST00327,Books,Electronics,Yes
CUST00328,Electronics,Home,Yes
CUST00329,Home,Home,No
CUST00330,Clothing,Electronics,Yes
CUST00331,Home,Clothing,Yes
CUST00332,Home,Home,No
CUST00333,Clothing,Electronics,Yes
CUST00334,Clothing,Clothing,No
CUST00335,Electronics,Electronics,No
CUST00336,Electronics,Home,Yes
CUST00337,Home,Clothing,Yes
CUST00339,Books,Clothing,Yes
CUST00340,Clothing,Home,Yes
CUST00341,Electronics,Home,Yes
CUST00342,Clothing,Clothing,No
CUST00343,Home,Clothing,Yes
CUST00344,Home,Electronics,Yes
CUST00345,Home,Electronics,Yes
CUST00346,Books,Clothing,Yes
CUST00347,Home,Clothing,Yes
CUST00348,Clothing,Home,Yes
CUST00350,Clothing,Home,Yes
CUST00351,Books,Electronics,Yes
CUST00352,Electronics,Books,Yes
CUST00353,Clothing,Books,Yes
CUST00354,Electronics,Clothing,Yes
CUST00355,Home,Home,No
CUST00356,Books,Electronics,Yes
CUST00357,Home,Electronics,Yes
CUST00358,Electronics,Home,Yes
CUST00359,Electronics,Clothing,Yes
CUST00361,Clothing,Home,Yes
CUST00362,Clothing,Electronics,Yes
CUST00363,Electronics,Books,Yes
CUST00364,Clothing,Home,Yes
CUST00365,Home,Electronics,Yes
CUST00366,Books,Electronics,Yes
CUST00367,Clothing,Books,Yes
CUST00368,Home,Home,No
CUST00369,Books,Electronics,Yes
CUST00370,Home,Home,No
CUST00371,Electronics,Home,Yes
CUST00372,Clothing,Home,Yes
CUST00373,Home,Electronics,Yes
CUST00374,Books,Books,No
CUST00375,Electronics,Clothing,Yes
CUST00376,Clothing,Electronics,Yes
CUST00377,Books,Clothing,Yes
CUST00379,Home,Books,Yes
CUST00380,Electronics,Electronics,No
CUST00381,Clothing,Home,Yes
CUST00382,Books,Electronics,Yes
CUST00383,Books,Books,No
CUST00384,Electronics,Home,Yes
CUST00385,Home,Electronics,Yes
CUST00386,Clothing,Home,Yes
CUST00387,Books,Home,Yes
CUST00389,Electronics,Home,Yes
CUST00390,Clothing,Home,Yes
CUST00391,Home,Home,No
CUST00393,Electronics,Home,Yes
CUST00395,Home,Electronics,Yes
CUST00397,Home,Home,No
CUST00398,Clothing,Books,Yes
CUST00399,Clothing,Clothing,No
CUST00400,Home,Home,No
CUST00401,Home,Electronics,Yes
CUST00403,Home,Clothing,Yes
CUST00404,Books,Home,Yes
CUST00405,Home,Electronics,Yes
CUST00406,Books,Home,Yes
CUST00407,Electronics,Electronics,No
CUST00408,Home,Electronics,Yes
CUST00409,Home,Home,No
CUST00411,Electronics,Electronics,No
CUST00412,Clothing,Clothing,No
CUST00415,Home,Clothing,Yes
CUST00416,Clothing,Clothing,No
CUST00417,Electronics,Electronics,No
CUST00418,Home,Books,Yes
CUST00419,Home,Clothing,Yes
CUST00420,Books,Electronics,Yes
CUST00421,Books,Home,Yes
CUST00422,Home,Home,No
CUST00423,Books,Books,No
CUST00424,Electronics,Clothing,Yes
CUST00426,Electronics,Clothing,Yes
CUST00427,Clothing,Books,Yes
CUST00428,Electronics,Home,Yes
CUST00429,Electronics,Home,Yes
CUST00430,Home,Books,Yes
CUST00431,Books,Electronics,Yes
CUST00432,Electronics,Home,Yes
CUST00433,Clothing,Electronics,Yes
CUST00434,Home,Clothing,Yes
CUST00435,Clothing,Books,Yes
CUST00436,Clothing,Home,Yes
CUST00437,Home,Home,No
CUST00438,Electronics,Home,Yes
CUST00439,Electronics,Home,Yes
CUST00440,Clothing,Electronics,Yes
CUST00441,Home,Electronics,Yes
CUST00442,Clothing,Electronics,Yes
CUST00443,Clothing,Electronics,Yes
CUST00444,Electronics,Electronics,No
CUST00445,Home,Home,No
CUST00446,Books,Home,Yes
CUST00447,Clothing,Electronics,Yes
CUST00448,Clothing,Clothing,No
CUST00449,Books,Electronics,Yes
CUST00450,Clothing,Clothing,No
CUST00451,Books,Clothing,Yes
CUST00452,Clothing,Home,Yes
CUST00453,Electronics,Electronics,No
CUST00455,Electronics,Clothing,Yes
CUST00456,Home,Books,Yes
CUST00459,Electronics,Home,Yes
CUST00460,Home,Home,No
CUST00461,Books,Books,No
CUST00462,Home,Books,Yes
CUST00463,Clothing,Electronics,Yes
CUST00464,Electronics,Books,Yes
CUST00465,Electronics,Home,Yes
CUST00466,Clothing,Electronics,Yes
CUST00467,Home,Clothing,Yes
CUST00468,Clothing,Clothing,No
CUST00469,Clothing,Electronics,Yes
CUST00470,Home,Clothing,Yes
CUST00471,Books,Books,No
CUST00472,Electronics,Clothing,Yes
CUST00473,Home,Electronics,Yes
CUST00474,Clothing,Electronics,Yes
CUST00475,Clothing,Books,Yes
CUST00476,Books,Clothing,Yes
CUST00477,Clothing,Clothing,No
CUST00478,Clothing,Clothing,No
CUST00479,Books,Books,No
CUST00481,Clothing,Clothing,No
CUST00483,Home,Home,No
CUST00484,Home,Electronics,Yes
CUST00485,Home,Home,No
CUST00486,Home,Books,Yes
CUST00487,Electronics,Clothing,Yes
CUST00488,Electronics,Electronics,No
CUST00490,Books,Home,Yes
CUST00492,Clothing,Clothing,No
CUST00493,Books,Books,No
CUST00495,Home,Home,No
CUST00496,Books,Clothing,Yes
CUST00497,Electronics,Electronics,No
CUST00498,Electronics,Home,Yes
CUST00499,Electronics,Home,Yes
CUST00500,Clothing,Clothing,No
CUST00501,Electronics,Clothing,Yes
CUST00502,Clothing,Home,Yes
CUST00503,Electronics,Electronics,No
CUST00504,Books,Books,No
CUST00505,Electronics,Clothing,Yes
CUST00506,Electronics,Books,Yes
CUST00507,Books,Clothing,Yes
CUST00508,Home,Clothing,Yes
CUST00509,Electronics,Home,Yes
CUST00510,Electronics,Books,Yes
CUST00511,Clothing,Clothing,No
CUST00512,Clothing,Clothing,No
CUST00513,Books,Electronics,Yes
CUST00514,Books,Electronics,Yes
CUST00516,Clothing,Home,Yes
CUST00517,Books,Clothing,Yes
CUST00518,Clothing,Clothing,No
CUST00519,Clothing,Books,Yes
CUST00520,Home,Books,Yes
CUST00521,Home,Home,No
CUST00523,Home,Clothing,Yes
CUST00524,Clothing,Books,Yes
CUST00525,Electronics,Books,Yes
CUST00526,Clothing,Home,Yes
CUST00527,Books,Clothing,Yes
CUST00528,Electronics,Home,Yes
CUST00529,Clothing,Clothing,No
CUST00530,Books,Books,No
CUST00531,Home,Clothing,Yes
CUST00532,Electronics,Books,Yes
CUST00533,Electronics,Clothing,Yes
CUST00534,Clothing,Clothing,No
CUST00535,Clothing,Clothing,No
CUST00536,Clothing,Electronics,Yes
CUST00537,Books,Electronics,Yes
CUST00538,Home,Electronics,Yes
CUST00539,Home,Home,No
CUST00541,Home,Home,No
CUST00542,Books,Clothing,Yes
CUST00543,Electronics,Home,Yes
CUST00544,Clothing,Electronics,Yes
CUST00545,Electronics,Clothing,Yes
CUST00546,Electronics,Electronics,No
CUST00549,Electronics,Clothing,Yes
CUST00550,Clothing,Books,Yes
CUST00551,Clothing,Electronics,Yes
CUST00552,Home,Books,Yes
CUST00553,Clothing,Books,Yes
CUST00554,Electronics,Electronics,No
CUST00555,Home,Books,Yes
CUST00556,Electronics,Home,Yes
CUST00557,Electronics,Home,Yes
CUST00558,Home,Clothing,Yes
CUST00559,Home,Home,No
CUST00561,Home,Home,No
CUST00562,Books,Home,Yes
CUST00563,Home,Home,No
CUST00565,Electronics,Clothing,Yes
CUST00566,Clothing,Clothing,No
CUST00568,Home,Home,No
CUST00570,Home,Electronics,Yes
CUST00571,Home,Home,No
CUST00572,Home,Home,No
CUST00574,Electronics,Books,Yes
CUST00575,Clothing,Books,Yes
CUST00576,Electronics,Home,Yes
CUST00577,Clothing,Home,Yes
CUST00578,Home,Electronics,Yes
CUST00579,Books,Books,No
CUST00580,Home,Books,Yes
CUST00581,Books,Clothing,Yes
CUST00582,Clothing,Home,Yes
CUST00583,Home,Electronics,Yes
CUST00584,Electronics,Home,Yes
CUST00585,Books,Electronics,Yes
CUST00586,Clothing,Books,Yes
CUST00587,Books,Books,No
CUST00588,Clothing,Electronics,Yes
CUST00591,Electronics,Clothing,Yes
CUST00592,Clothing,Books,Yes
CUST00593,Home,Books,Yes
CUST00594,Electronics,Home,Yes
CUST00595,Books,Home,Yes
CUST00596,Clothing,Books,Yes
CUST00597,Books,Home,Yes
CUST00599,Electronics,Clothing,Yes
CUST00600,Clothing,Home,Yes
CUST00601,Home,Clothing,Yes
CUST00603,Home,Books,Yes
CUST00604,Electronics,Home,Yes
CUST00605,Home,Home,No
CUST00606,Home,Home,No
CUST00607,Clothing,Books,Yes
CUST00608,Books,Books,No
CUST00609,Electronics,Books,Yes
CUST00610,Electronics,Electronics,No
CUST00611,Electronics,Home,Yes
CUST00613,Books,Clothing,Yes
CUST00614,Books,Clothing,Yes
CUST00615,Home,Electronics,Yes
CUST00616,Books,Home,Yes
CUST00617,Clothing,Books,Yes
CUST00618,Home,Home,No
CUST00619,Electronics,Electronics,No
CUST00621,Electronics,Home,Yes
CUST00622,Clothing,Electronics,Yes
CUST00624,Clothing,Electronics,Yes
CUST00625,Books,Electronics,Yes
CUST00627,Clothing,Books,Yes
CUST00629,Books,Clothing,Yes
CUST00630,Clothing,Clothing,No
CUST00631,Clothing,Home,Yes
CUST00632,Clothing,Clothing,No
CUST00633,Electronics,Books,Yes
CUST00634,Clothing,Home,Yes
CUST00635,Home,Home,No
CUST00636,Electronics,Electronics,No
CUST00637,Electronics,Home,Yes
CUST00638,Clothing,Clothing,No
CUST00639,Clothing,Electronics,Yes
CUST00640,Clothing,Home,Yes
CUST00641,Clothing,Electronics,Yes
CUST00642,Electronics,Clothing,Yes
CUST00643,Clothing,Books,Yes
CUST00646,Books,Clothing,Yes
CUST00647,Electronics,Clothing,Yes
CUST00648,Books,Electronics,Yes
CUST00649,Books,Electronics,Yes
CUST00650,Books,Electronics,Yes
CUST00652,Clothing,Electronics,Yes
CUST00653,Electronics,Electronics,No
CUST00654,Home,Electronics,Yes
CUST00655,Electronics,Home,Yes
CUST00656,Electronics,Electronics,No
CUST00657,Books,Home,Yes
CUST00658,Home,Electronics,Yes
CUST00660,Books,Clothing,Yes
CUST00661,Electronics,Books,Yes
CUST00662,Home,Home,No
CUST00664,Home,Books,Yes
CUST00665,Clothing,Electronics,Yes
CUST00666,Books,Home,Yes
CUST00667,Home,Clothing,Yes
CUST00668,Electronics,Clothing,Yes
CUST00669,Books,Clothing,Yes
CUST00670,Electronics,Electronics,No
CUST00671,Home,Electronics,Yes
CUST00672,Clothing,Electronics,Yes
CUST00673,Electronics,Electronics,No
CUST00674,Electronics,Books,Yes
CUST00675,Clothing,Books,Yes
CUST00676,Home,Electronics,Yes
CUST00677,Books,Electronics,Yes
CUST00678,Electronics,Books,Yes
CUST00680,Clothing,Books,Yes
CUST00681,Electronics,Electronics,No
CUST00682,Electronics,Home,Yes
CUST00683,Home,Clothing,Yes
CUST00684,Books,Home,Yes
CUST00685,Electronics,Books,Yes
CUST00686,Clothing,Clothing,No
CUST00687,Home,Home,No
CUST00688,Clothing,Electronics,Yes
CUST00689,Home,Books,Yes
CUST00690,Electronics,Electronics,No
CUST00691,Electronics,Electronics,No
CUST00692,Books,Electronics,Yes
CUST00693,Home,Clothing,Yes
CUST00694,Electronics,Electronics,No
CUST00696,Electronics,Electronics,No
CUST00697,Clothing,Home,Yes
CUST00698,Electronics,Electronics,No
CUST00700,Clothing,Home,Yes
CUST00701,Electronics,Home,Yes
CUST00702,Electronics,Electronics,No
CUST00703,Home,Home,No
CUST00704,Books,Electronics,Yes
CUST00705,Books,Home,Yes
CUST00706,Clothing,Clothing,No
CUST00708,Electronics,Home,Yes
CUST00709,Books,Books,No
CUST00710,Books,Home,Yes
CUST00711,Home,Clothing,Yes
CUST00713,Electronics,Electronics,No
CUST00714,Clothing,Electronics,Yes
CUST00716,Electronics,Home,Yes
CUST00717,Electronics,Clothing,Yes
CUST00718,Clothing,Home,Yes
CUST00719,Home,Clothing,Yes
CUST00720,Home,Clothing,Yes
CUST00721,Home,Books,Yes
CUST00722,Clothing,Books,Yes
CUST00723,Electronics,Home,Yes
CUST00724,Clothing,Home,Yes
CUST00725,Electronics,Books,Yes
CUST00727,Home,Clothing,Yes
CUST00728,Clothing,Home,Yes
CUST00729,Electronics,Electronics,No
CUST00730,Electronics,Electronics,No
CUST00731,Books,Clothing,Yes
CUST00732,Clothing,Books,Yes
CUST00733,Electronics,Clothing,Yes
CUST00734,Clothing,Books,Yes
CUST00735,Books,Books,No
CUST00736,Clothing,Clothing,No
CUST00737,Electronics,Clothing,Yes
CUST00738,Books,Books,No
CUST00739,Electronics,Home,Yes
CUST00740,Home,Books,Yes
CUST00742,Clothing,Home,Yes
CUST00743,Home,Home,No
CUST00744,Electronics,Electronics,No
CUST00745,Books,Clothing,Yes
CUST00746,Books,Home,Yes
CUST00747,Clothing,Clothing,No
CUST00748,Clothing,Clothing,No
CUST00749,Home,Electronics,Yes
CUST00750,Clothing,Books,Yes
CUST00751,Clothing,Home,Yes
CUST00752,Home,Clothing,Yes
CUST00753,Home,Home,No
CUST00754,Electronics,Electronics,No
CUST00755,Home,Books,Yes
CUST00756,Clothing,Books,Yes
CUST00757,Books,Home,Yes
CUST00758,Home,Clothing,Yes
CUST00759,Clothing,Clothing,No
CUST00760,Clothing,Electronics,Yes
CUST00761,Books,Home,Yes
CUST00763,Clothing,Clothing,No
CUST00764,Electronics,Clothing,Yes
CUST00765,Clothing,Clothing,No
CUST00766,Books,Electronics,Yes
CUST00767,Home,Home,No
CUST00768,Electronics,Clothing,Yes
CUST00770,Clothing,Electronics,Yes
CUST00771,Home,Clothing,Yes
CUST00772,Clothing,Clothing,No
CUST00773,Home,Electronics,Yes
CUST00774,Electronics,Clothing,Yes
CUST00775,Clothing,Clothing,No
CUST00776,Clothing,Clothing,No
CUST00777,Clothing,Electronics,Yes
CUST00779,Electronics,Home,Yes
CUST00780,Clothing,Books,Yes
CUST00781,Books,Electronics,Yes
CUST00783,Books,Home,Yes
CUST00785,Electronics,Books,Yes
CUST00786,Books,Home,Yes
CUST00787,Home,Clothing,Yes
CUST00790,Electronics,Electronics,No
CUST00791,Electronics,Clothing,Yes
CUST00792,Electronics,Clothing,Yes
CUST00793,Home,Electronics,Yes
CUST00794,Clothing,Home,Yes
CUST00795,Home,Home,No
CUST00796,Electronics,Home,Yes
CUST00797,Clothing,Home,Yes
CUST00798,Home,Clothing,Yes
CUST00799,Clothing,Books,Yes
CUST00800,Books,Home,Yes
